date,likes,replies,retweets,source,tweet,sentiment
2022-01-14 20:07:26+00:00,4209,104,240,Twitter for iPhone, island. 7pm 1gunnagunna ,"[{'label': 'neutral', 'score': 0.9244830012321472}]"
2022-01-14 02:34:05+00:00,1084,58,94,Twitter for iPhone,feed the fam tomorrow tshyne ,"[{'label': 'neutral', 'score': 0.7757682204246521}]"
2022-01-14 02:33:19+00:00,2198,55,194,Twitter for iPhone,the yungest yungkayo dftk 2422 ,"[{'label': 'neutral', 'score': 0.5875760912895203}]"
2022-01-13 23:16:38+00:00,3759,119,511,Twitter for iPhone,  ower  ,"[{'label': 'neutral', 'score': 0.903984546661377}]"
2022-01-13 19:46:00+00:00,15690,224,908,Twitter for iPhone,s only ,"[{'label': 'neutral', 'score': 0.9060631394386292}]"
2022-01-12 21:41:22+00:00,15620,257,2245,Twitter for iPhone,alex aint  out now ,"[{'label': 'neutral', 'score': 0.7357026934623718}]"
2022-01-07 19:00:19+00:00,3268,72,413,Twitter for iPhone,too easy   ,"[{'label': 'neutral', 'score': 0.6090505123138428}]"
2022-01-07 05:08:00+00:00,6420,108,1100,Twitter for iPhone,4ever   ,"[{'label': 'neutral', 'score': 0.6955705285072327}]"
2022-01-04 20:17:48+00:00,35652,176,4212,Twitter for iPhone,ds4 ever the fourth and final installment 1722 1gunnagunna ,"[{'label': 'neutral', 'score': 0.8176572322845459}]"
2022-01-02 02:38:22+00:00,9958,114,1916,Twitter for iPhone,ds4 1722 1gunnagunna  ,"[{'label': 'neutral', 'score': 0.8896850347518921}]"
2021-12-27 02:25:09+00:00,1123,39,87,Twitter for iPhone,live tonight. virtual reality punk   oculus superspherevr  ,"[{'label': 'positive', 'score': 0.74497389793396}]"
2021-12-17 22:50:11+00:00,1027,50,99,Twitter for iPhone,come watch me perform some new punk in oculus on 1226  superspherevr   ,"[{'label': 'positive', 'score': 0.8673957586288452}]"
2021-12-17 19:42:47+00:00,2128,57,362,Twitter for iPhone,giuseppe zanottis newest. the cobras. gzcobras gzss22   ,"[{'label': 'neutral', 'score': 0.6891567707061768}]"
2021-12-07 20:07:28+00:00,789,53,73,Twitter for iPhone,the punk jacket print challenge winners are in. shout out to everyone who entered. cant wait to see this collection come to life. see my second creativecloud challenge at   ,"[{'label': 'positive', 'score': 0.9841655492782593}]"
2021-12-04 01:43:16+00:00,525,44,60,Twitter for iPhone,join me now on clubhouse ,"[{'label': 'neutral', 'score': 0.7221086621284485}]"
2021-11-24 09:27:37+00:00,3467,151,230,Twitter for iPhone,,"[{'label': 'positive', 'score': 0.8589701652526855}]"
2021-11-23 21:00:15+00:00,753,40,77,Twitter for iPhone,you still have time to show me how you would create my punk cover art. use creativecloud to remix it. you might win 10k  enter at  ,"[{'label': 'positive', 'score': 0.8912996053695679}]"
2021-11-19 18:14:43+00:00,9318,83,926,Twitter for iPhone,thank you nfl & atlantafalcons for the punk suite   ,"[{'label': 'positive', 'score': 0.9759169220924377}]"
2021-11-14 22:01:55+00:00,32062,1596,3026,Twitter for iPhone,gm,"[{'label': 'neutral', 'score': 0.6589528322219849}]"
2021-11-11 21:37:18+00:00,10446,531,1185,Twitter for iPhone,thanks for the gift thugbirdz  ,"[{'label': 'positive', 'score': 0.9637166261672974}]"
2021-10-28 23:32:53+00:00,1528,90,185,Twitter for iPhone,"now that youve heard the album, i wanna see what yall can do with my punk cover. remix it using creativecloud apps for a shot at 10k  to enter, go to  ","[{'label': 'positive', 'score': 0.8133004903793335}]"
2021-10-21 01:42:48+00:00,18015,533,927,Twitter for iPhone,what song do you think i was working on  punk ,"[{'label': 'neutral', 'score': 0.8773552179336548}]"
2021-10-20 22:25:11+00:00,2707,54,224,Twitter for iPhone, punk,"[{'label': 'positive', 'score': 0.8668163418769836}]"
2021-10-20 20:33:55+00:00,1866,56,123,Twitter for iPhone,autographed copies of punk  ,"[{'label': 'positive', 'score': 0.8554791808128357}]"
2021-10-19 23:42:07+00:00,30417,357,3069,Twitter for iPhone,i wanna make slime city solar powered wya elonmusk,"[{'label': 'neutral', 'score': 0.5826730728149414}]"
2021-10-19 17:27:01+00:00,1216,63,126,Twitter for iPhone,exclusive punk merch and album  ,"[{'label': 'positive', 'score': 0.9614477157592773}]"
2021-10-17 01:09:52+00:00,3152,74,225,Twitter for iPhone,im lighting nyc pnk tonight with lyft punk snl  ,"[{'label': 'positive', 'score': 0.7770105004310608}]"
2021-10-15 14:25:18+00:00,1058,53,105,Twitter for iPhone,open the lyft app and enter code youngthug in the rewards tab to unlock a sp5der surprise and a promo code on merch.   punk lyftlaunchparty ,"[{'label': 'positive', 'score': 0.9029154181480408}]"
2021-10-15 07:52:45+00:00,27919,1566,7239,Twitter for iPhone,punk out now ,"[{'label': 'neutral', 'score': 0.8136057257652283}]"
2021-10-15 04:50:00+00:00,32582,482,5937,Twitter for iPhone,had to add some friends   punk ,"[{'label': 'positive', 'score': 0.8898479342460632}]"
2021-10-15 04:46:24+00:00,60324,561,8226,Twitter for iPhone,punk 12pm pst3am est  ,"[{'label': 'positive', 'score': 0.7265856862068176}]"
2021-10-14 21:26:19+00:00,37,9,3,Twitter for iPhone,lyft ,"[{'label': 'positive', 'score': 0.8600936532020569}]"
2021-10-14 17:51:44+00:00,9491,245,1380,Twitter for iPhone,watch me surprise lyft drivers with an exclusive first listen.  punk 10.15  sign up for the punk launch party text at 404777punk ,"[{'label': 'positive', 'score': 0.8584113121032715}]"
2021-09-24 04:09:08+00:00,7428,125,1161,Twitter for iPhone,  1gunnagunna 1future ,"[{'label': 'neutral', 'score': 0.6477226614952087}]"
2021-09-13 23:17:56+00:00,1357,95,125,Twitter for iPhone,theres still time to win 3k for your pnkinspired jacket print designed with creativecloud. get creating at  youngthugxadobe   ,"[{'label': 'positive', 'score': 0.8444647789001465}]"
2021-08-25 00:22:30+00:00,2286,124,267,Twitter for iPhone,"use creativecloud to design a jacket print inspired by my new album, pnk, and i might end up wearing it... get creating at  youngthugxadobe     ","[{'label': 'positive', 'score': 0.7960559129714966}]"
2021-08-20 14:15:33+00:00,5684,111,1169,Twitter for iPhone,tick tock video out now   ,"[{'label': 'positive', 'score': 0.9240318536758423}]"
2021-08-20 04:35:56+00:00,6301,106,894,Twitter for iPhone,tick tock out now. video at 10am east   ,"[{'label': 'positive', 'score': 0.8671414852142334}]"
2021-08-20 02:39:32+00:00,8265,142,1212,Twitter for iPhone,grew this pink iphone 2 weeks ago just for this song. tick tock  midnight  ,"[{'label': 'positive', 'score': 0.9690935015678406}]"
2021-08-05 23:28:21+00:00,1516,85,152,Twitter for iPhone,my luv hidoraah  ,"[{'label': 'positive', 'score': 0.9061434864997864}]"
2021-08-05 22:25:00+00:00,1491,65,198,Twitter for iPhone, ytbtrench  ,"[{'label': 'positive', 'score': 0.937254011631012}]"
2021-07-27 16:06:32+00:00,15749,213,3453,Twitter for iPhone,  ,"[{'label': 'positive', 'score': 0.9306529760360718}]"
2021-07-26 23:27:09+00:00,23358,318,4951,Twitter for iPhone,"tomorrow 12pm east, 9am west nprmusic  ","[{'label': 'positive', 'score': 0.9065426588058472}]"
2021-07-13 23:47:57+00:00,38247,578,7137,Twitter for iPhone,slatty,"[{'label': 'neutral', 'score': 0.5347833037376404}]"
2021-07-09 18:40:17+00:00,1495,67,148,Twitter for iPhone,go up twin ytbtrench  ,"[{'label': 'neutral', 'score': 0.6247786283493042}]"
2021-06-19 01:24:38+00:00,1912,72,272,Twitter for iPhone, 2unfoonk 1future  ,"[{'label': 'neutral', 'score': 0.5644878149032593}]"
2021-06-14 21:00:42+00:00,3158,72,306,Twitter for iPhone,my struggle friday 2unfoonk ,"[{'label': 'neutral', 'score': 0.8960630297660828}]"
2021-06-10 01:50:01+00:00,2268,55,210,Twitter for iPhone,    ,"[{'label': 'neutral', 'score': 0.8248285055160522}]"
2021-06-04 04:49:24+00:00,8226,126,1011,Twitter for iPhone,voh lilbaby4pf lildurk   ,"[{'label': 'positive', 'score': 0.8855587244033813}]"
2021-06-03 05:14:11+00:00,1474,43,129,Twitter for iPhone,the yungest yungkayo  ,"[{'label': 'positive', 'score': 0.6084455251693726}]"
2021-05-24 20:05:59+00:00,4169,95,456,Twitter for iPhone,fitskii skichallenege fitforevaaa ,"[{'label': 'neutral', 'score': 0.8473683595657349}]"
2021-05-21 22:52:12+00:00,1606,63,142,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7075852155685425}]"
2021-05-17 20:27:05+00:00,20962,242,3310,Twitter for iPhone,  uwebaltner ,"[{'label': 'neutral', 'score': 0.7556079626083374}]"
2021-05-12 19:06:24+00:00,1409,607,133,Twitter for iPhone,  fndadealer  ,"[{'label': 'negative', 'score': 0.5163695812225342}]"
2021-05-07 16:05:49+00:00,1273,242,88,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7427899241447449}]"
2021-05-07 04:04:54+00:00,833,132,113,Twitter for iPhone, ytbtrench ,"[{'label': 'neutral', 'score': 0.8310506939888}]"
2021-05-07 03:40:38+00:00,3462,103,349,Twitter for iPhone,midnight ytbtrench ,"[{'label': 'neutral', 'score': 0.885113000869751}]"
2021-04-30 19:33:38+00:00,8638,132,1277,Twitter for iPhone,part of the genies familyskiii skichallenge ,"[{'label': 'neutral', 'score': 0.6141704320907593}]"
2021-04-29 18:20:08+00:00,13702,152,2866,Twitter for iPhone,the  chrisbrown skichallenge     ,"[{'label': 'positive', 'score': 0.7220612168312073}]"
2021-04-28 17:04:43+00:00,3061,69,494,Twitter for iPhone,"paid the fine video 5pm east, 2pm west 1gunnagunna lilbaby4pf ytbtrench ","[{'label': 'neutral', 'score': 0.8300660252571106}]"
2021-04-28 01:58:32+00:00,11738,147,1221,Twitter for iPhone,kirkskiii  dababydababy skichallenge ,"[{'label': 'neutral', 'score': 0.5938865542411804}]"
2021-04-27 22:13:30+00:00,4011,86,436,Twitter for iPhone,nextskiii ytbtrench ,"[{'label': 'neutral', 'score': 0.801239013671875}]"
2021-04-23 07:07:46+00:00,5951,117,930,Twitter for iPhone,deluxe us  ,"[{'label': 'neutral', 'score': 0.7675222158432007}]"
2021-04-23 02:31:12+00:00,74984,921,11992,Twitter for iPhone,"fuck it im mad... deluxe tonight  3am east, midnight west ","[{'label': 'negative', 'score': 0.8998806476593018}]"
2021-04-22 20:00:30+00:00,2196,85,186,Twitter for iPhone,limited editions signed by me and 1gunnagunna  ,"[{'label': 'neutral', 'score': 0.783403754234314}]"
2021-04-22 15:34:10+00:00,11488,156,2582,Twitter for iPhone,warzone squadskiii wearing all sp5der  callofduty codpartner  gibsonhazard ,"[{'label': 'positive', 'score': 0.7682795524597168}]"
2021-04-22 00:51:41+00:00,3813,49,354,Twitter for iPhone,gangskiii 1bslime  skichallenge ,"[{'label': 'neutral', 'score': 0.8255589604377747}]"
2021-04-21 17:09:46+00:00,8631,94,885,Twitter for iPhone,goin upskiii  coileray skichallenge ,"[{'label': 'neutral', 'score': 0.677570641040802}]"
2021-04-20 19:14:32+00:00,3649,56,524,Twitter for iPhone,"5pm east, 2pm west ","[{'label': 'neutral', 'score': 0.8896133303642273}]"
2021-04-20 19:14:04+00:00,3983,1731,369,Twitter for iPhone,feeling rich this week  comment your cashtag and skichallenge to win some bitcoin ,"[{'label': 'positive', 'score': 0.876819908618927}]"
2021-04-20 17:01:32+00:00,5060,3876,807,Twitter for iPhone,skichallenge giveaway ,"[{'label': 'positive', 'score': 0.5037573575973511}]"
2021-04-19 22:09:33+00:00,27682,206,4061,Twitter for iPhone, kevinhart4real skichallenge   therock next  ,"[{'label': 'neutral', 'score': 0.6663718819618225}]"
2021-04-19 17:55:08+00:00,31587,303,4389,Twitter for iPhone,drakeskiii who next   drake  skichallenge ,"[{'label': 'neutral', 'score': 0.8709527850151062}]"
2021-04-18 23:59:46+00:00,17760,73,3139,Twitter for iPhone,skichallenge global   ,"[{'label': 'neutral', 'score': 0.807039737701416}]"
2021-04-18 18:41:36+00:00,5899,66,570,Twitter for iPhone,you gon need 3 promoters  swaelee skichallenge ,"[{'label': 'neutral', 'score': 0.8029588460922241}]"
2021-04-17 22:36:55+00:00,26795,290,4454,Twitter for iPhone,sayless 1future skichallenge ,"[{'label': 'neutral', 'score': 0.6154537200927734}]"
2021-04-17 20:21:24+00:00,12159,146,1463,Twitter for iPhone, quavostuntin skichallenge who next ,"[{'label': 'neutral', 'score': 0.7785024642944336}]"
2021-04-17 01:27:00+00:00,12453,139,2357,Twitter for iPhone,  nowskiii    ,"[{'label': 'neutral', 'score': 0.8975307941436768}]"
2021-04-16 23:53:40+00:00,9310,730,1425,Twitter for iPhone,,"[{'label': 'neutral', 'score': 0.7657750844955444}]"
2021-04-16 20:45:21+00:00,33435,415,5809,Twitter for iPhone,yall ready    ,"[{'label': 'neutral', 'score': 0.8594358563423157}]"
2021-04-16 04:39:25+00:00,13083,245,2601,Twitter for iPhone,skiii  sl2 out now gunna diddy tag who next skichallenge ,"[{'label': 'neutral', 'score': 0.9176141023635864}]"
2021-04-13 19:21:38+00:00,2487,65,201,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7705792784690857}]"
2021-04-13 00:03:22+00:00,172697,1805,39842,Twitter for iPhone,416 the album ,"[{'label': 'neutral', 'score': 0.8025139570236206}]"
2021-02-12 05:13:08+00:00,3847,194,545,Twitter for iPhone,,"[{'label': 'neutral', 'score': 0.7822268605232239}]"
2021-01-30 21:04:51+00:00,2245,108,155,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.6649935841560364}]"
2021-01-29 04:17:27+00:00,1883,92,216,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7343925833702087}]"
2020-12-19 17:22:48+00:00,3753,203,259,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7883545756340027}]"
2020-12-19 04:07:29+00:00,10215,153,1078,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.8008175492286682}]"
2020-12-18 05:12:30+00:00,9774,263,1840,Twitter for iPhone,ttstt  ,"[{'label': 'neutral', 'score': 0.7649648785591125}]"
2020-10-02 23:46:01+00:00,1034,24,193,Twitter for iPhone,yungkayo ,"[{'label': 'neutral', 'score': 0.8857235312461853}]"
2020-09-16 05:34:44+00:00,85306,855,13357,Twitter for iPhone,put that gun down son..,"[{'label': 'negative', 'score': 0.8948891162872314}]"
2020-07-29 22:59:48+00:00,40333,1117,2299,Twitter for iPhone,twitter was hacked ,"[{'label': 'neutral', 'score': 0.5146508812904358}]"
2020-07-17 04:35:42+00:00,43633,713,5666,Twitter for iPhone,just so u know james harden is my brada... btw he dont have internet so he obviously dont know whats right or wrong if he posted something thats against us...but i hate when rappers get in niggas biz like its cant happen to em buster let niggas clear they shit up activist,"[{'label': 'neutral', 'score': 0.4731179177761078}]"
2020-05-29 17:29:07+00:00,5336,113,576,Twitter for iPhone,  ,"[{'label': 'neutral', 'score': 0.7686722874641418}]"
2020-05-21 22:41:27+00:00,14260,145,1998,Twitter for iPhone,wunna,"[{'label': 'neutral', 'score': 0.7644060254096985}]"
2020-05-15 16:39:14+00:00,10673,157,1707,Twitter for iPhone,    ,"[{'label': 'positive', 'score': 0.5997939705848694}]"
2020-05-14 21:36:19+00:00,3992,122,458,Twitter for iPhone,stay home & shop  ,"[{'label': 'neutral', 'score': 0.8538659811019897}]"
2020-05-11 19:23:28+00:00,8797,159,1575,Twitter for iPhone,my son drop friday 1lilkeed  ,"[{'label': 'neutral', 'score': 0.6846112012863159}]"
2020-05-08 17:31:58+00:00,10462,119,1100,Twitter for iPhone,originator outwestchallenge  ,"[{'label': 'positive', 'score': 0.7086513638496399}]"
2020-05-06 19:57:49+00:00,930,30,91,Twitter for iPhone,    applemusic  ,"[{'label': 'neutral', 'score': 0.5921278595924377}]"
2020-05-06 19:56:46+00:00,4233,99,643,Twitter for iPhone,slimeampb spotify  ,"[{'label': 'neutral', 'score': 0.7869083285331726}]"
2020-05-06 00:27:02+00:00,69363,1018,8516,Twitter for iPhone,i recorded all the verses in one day ongod,"[{'label': 'positive', 'score': 0.7361712455749512}]"
2020-05-05 16:44:14+00:00,12877,1037,2571,Twitter for iPhone,,"[{'label': 'neutral', 'score': 0.7532966136932373}]"
2020-05-05 16:43:59+00:00,18006,260,4535,Twitter for iPhone,now  ,"[{'label': 'positive', 'score': 0.5187326669692993}]"
2020-05-01 04:55:08+00:00,4241,121,553,Twitter for iPhone,my artist tshyne moncler out now,"[{'label': 'positive', 'score': 0.5828815698623657}]"
2020-04-24 23:37:37+00:00,15083,146,1380,Twitter for iPhone,,"[{'label': 'neutral', 'score': 0.7731779217720032}]"
2020-04-04 19:22:31+00:00,37104,613,5059,Twitter for iPhone,1017 54,"[{'label': 'neutral', 'score': 0.8486930727958679}]"
2020-03-06 05:15:17+00:00,4501,124,690,Twitter for iPhone,skybox now 1gunnagunna ,"[{'label': 'neutral', 'score': 0.5323779582977295}]"
2020-02-19 00:54:24+00:00,108342,1042,34157,Twitter for iPhone,youre gods best creation,"[{'label': 'positive', 'score': 0.9649331569671631}]"
2020-02-10 01:18:19+00:00,120820,2230,13370,Twitter for iPhone,out west video,"[{'label': 'neutral', 'score': 0.9328246712684631}]"
2020-01-13 22:04:48+00:00,1416,55,211,Twitter for iPhone,yak gotti first day out.  ,"[{'label': 'positive', 'score': 0.9647395610809326}]"
2019-12-31 18:23:07+00:00,4348,89,452,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.698754608631134}]"
2019-12-29 17:26:37+00:00,8639,157,875,Twitter for iPhone,red sweatsuit out now   ,"[{'label': 'neutral', 'score': 0.8199814558029175}]"
2019-12-27 17:10:59+00:00,20156,162,2656,Twitter for iPhone,wat no more  ,"[{'label': 'neutral', 'score': 0.6168466210365295}]"
2019-12-26 00:53:06+00:00,6448,119,691,Twitter for iPhone,  spider for xmas       ,"[{'label': 'neutral', 'score': 0.8367423415184021}]"
2019-12-24 14:49:57+00:00,8267,72,742,Twitter for iPhone, ,"[{'label': 'positive', 'score': 0.9202442765235901}]"
2019-12-21 19:20:39+00:00,58150,188,8535,Twitter for iPhone,liluzivert  ,"[{'label': 'positive', 'score': 0.8264603614807129}]"
2019-12-20 06:34:04+00:00,55075,835,13068,Twitter for iPhone,deluxe                                    ,"[{'label': 'positive', 'score': 0.8552248477935791}]"
2019-11-28 06:23:45+00:00,32459,291,6928,Twitter for iPhone,facts ,"[{'label': 'positive', 'score': 0.9495833516120911}]"
2019-11-02 22:04:28+00:00,5254,92,443,Twitter for iPhone,slatt bizz ,"[{'label': 'positive', 'score': 0.8691055178642273}]"
2019-10-02 22:04:17+00:00,92451,685,16107,Twitter for iPhone,yo kanyewest is my verse about the devil still on jesus ,"[{'label': 'neutral', 'score': 0.876211404800415}]"
2019-09-21 02:23:46+00:00,8841,209,1303,Twitter for iPhone,justin bieber big tour tickets on sale now  ,"[{'label': 'neutral', 'score': 0.7895444631576538}]"
2019-09-20 04:23:50+00:00,33222,337,5002,Twitter for iPhone,we changing the tour name to justin bieber big,"[{'label': 'neutral', 'score': 0.8052634596824646}]"
2019-09-16 20:24:06+00:00,3639,88,1182,Twitter for iPhone,just how it is out now ,"[{'label': 'neutral', 'score': 0.8386362195014954}]"
2019-09-16 19:13:14+00:00,17509,213,4729,Twitter for iPhone,just how it is 4 est. 1 west ,"[{'label': 'neutral', 'score': 0.8823221325874329}]"
2019-09-12 22:08:14+00:00,3292,82,629,Twitter for iPhone,next. yungkayo   ,"[{'label': 'positive', 'score': 0.8505087494850159}]"
2019-09-09 21:27:38+00:00,36598,219,8358,Twitter for iPhone,reasons we 1 tombrady ,"[{'label': 'positive', 'score': 0.7666921615600586}]"
2019-09-04 15:48:49+00:00,38032,401,8562,Twitter for iPhone,pure to me meanspeople urarelyeye,"[{'label': 'positive', 'score': 0.6959342360496521}]"
2019-08-27 22:52:05+00:00,5327,109,366,Twitter for iPhone,rough trade i will be there at 10pm,"[{'label': 'neutral', 'score': 0.7635940909385681}]"
2019-08-27 11:53:21+00:00,1160,53,165,Twitter for iPhone,im linking with tidal to give yall a free 60day trial to watch my crwn interview with elliottwilson tonight  tidalxcrwn,"[{'label': 'positive', 'score': 0.7675716876983643}]"
2019-08-26 18:51:41+00:00,35657,216,7535,Twitter for iPhone, ,"[{'label': 'positive', 'score': 0.8438222408294678}]"
2019-08-26 05:17:18+00:00,4706,78,396,Twitter for iPhone,nyc family meet me here ,"[{'label': 'neutral', 'score': 0.810288667678833}]"
2019-08-24 21:42:42+00:00,74324,407,19969,Twitter for iPhone, ,"[{'label': 'positive', 'score': 0.5336819887161255}]"
2019-08-23 20:12:42+00:00,1330,42,151,Twitter for iPhone,rsvp  ,"[{'label': 'neutral', 'score': 0.8599436283111572}]"
2019-08-23 17:34:21+00:00,10769,71,1185,Twitter for iPhone,,"[{'label': 'positive', 'score': 0.9468904733657837}]"
2019-08-23 03:02:54+00:00,3738,97,452,Twitter for iPhone,more merch added   ,"[{'label': 'neutral', 'score': 0.45429056882858276}]"
2019-08-22 18:42:13+00:00,4755,49,459,Twitter for iPhone,proud father . my son starts tour tonight. ny pull up ,"[{'label': 'positive', 'score': 0.9867420792579651}]"
2019-08-22 17:58:21+00:00,2597,50,346,Twitter for iPhone,love yall bigboy real923la ,"[{'label': 'positive', 'score': 0.9660025835037231}]"
2019-08-21 21:59:27+00:00,9326,171,488,Twitter for iPhone,so so sorry ny but i wont be able to make it today. too long delays on my flight. i will be making this up on tuesday. love and thank u to anyone who came out today for me. ill be seeing u soon. ,"[{'label': 'negative', 'score': 0.8150555491447449}]"
2019-08-21 16:24:59+00:00,23,8,5,Twitter for iPhone,roughtradenyc 9pm tonight,"[{'label': 'neutral', 'score': 0.9415968060493469}]"
2019-08-20 19:14:13+00:00,7655,139,2345,Twitter for iPhone,surf video out now               ,"[{'label': 'neutral', 'score': 0.5791762471199036}]"
2019-08-20 11:40:03+00:00,4278,92,369,Twitter for iPhone,nyc & la ,"[{'label': 'neutral', 'score': 0.7943270206451416}]"
2019-08-20 04:40:25+00:00,16379,200,2491,Twitter for iPhone,surf video tomorrow at 3pm est ,"[{'label': 'neutral', 'score': 0.7227077484130859}]"
2019-08-19 23:39:42+00:00,41242,872,5769,Twitter for iPhone,surf video tonight ,"[{'label': 'neutral', 'score': 0.9300310015678406}]"
2019-08-19 20:51:28+00:00,5153,104,689,Twitter for iPhone,merch bundles  ,"[{'label': 'positive', 'score': 0.9788597822189331}]"
2019-08-18 04:47:28+00:00,16662,4316,1161,Twitter for iPhone,favorite song on somuchfun ,"[{'label': 'positive', 'score': 0.7547363638877869}]"
2019-08-18 04:46:33+00:00,1584,31,158,Twitter for iPhone,pussychallenge who can top this tho  ,"[{'label': 'positive', 'score': 0.9493425488471985}]"
2019-08-17 00:24:42+00:00,9528,121,927,Twitter for iPhone,otw ,"[{'label': 'neutral', 'score': 0.8071550726890564}]"
2019-08-16 17:49:55+00:00,12414,141,2680,Twitter for iPhone,,"[{'label': 'neutral', 'score': 0.7375227212905884}]"
2019-08-16 04:49:34+00:00,51651,1127,19314,Twitter for iPhone,so much fun. out now ,"[{'label': 'positive', 'score': 0.9861990213394165}]"
