date,likes,replies,retweets,source,tweet,sentiment,ai_reply
2021-11-19 18:14:43+00:00,9318,83,926,Twitter for iPhone,thank you nfl & atlantafalcons for the punk suite   ,"[{'label': 'positive', 'score': 0.9759169220924377}]","Conversation id: d0a83ba6-ca23-4341-9a3a-729c4077d0ac 
user >> thank you nfl & atlantafalcons for the punk suite    
bot >> I'm not sure if you're being sarcastic or not, but I'm pretty sure that's a real thing. 
"
2021-11-14 22:01:55+00:00,32062,1596,3026,Twitter for iPhone,gm,"[{'label': 'neutral', 'score': 0.6589528322219849}]","Conversation id: 9abca33a-6a21-4783-86fe-f9408e14fc1f 
user >> gm 
bot >>  
"
2021-11-11 21:37:18+00:00,10446,531,1185,Twitter for iPhone,thanks for the gift thugbirdz  ,"[{'label': 'positive', 'score': 0.9637166261672974}]","Conversation id: 46908f54-1e55-4b75-9b7f-fee4879f29b1 
user >> thanks for the gift thugbirdz   
bot >> You're welcome 
"
2021-10-28 23:32:53+00:00,1528,90,185,Twitter for iPhone,"now that youve heard the album, i wanna see what yall can do with my punk cover. remix it using creativecloud apps for a shot at 10k  to enter, go to  ","[{'label': 'positive', 'score': 0.8133004903793335}]","Conversation id: 121cc034-e19f-41dc-9133-0f804dc1225a 
user >> now that youve heard the album, i wanna see what yall can do with my punk cover. remix it using creativecloud apps for a shot at 10k  to enter, go to   
bot >> I'm not sure if I can do that, but I'll try. 
"
2021-10-21 01:42:48+00:00,18015,533,927,Twitter for iPhone,what song do you think i was working on  punk ,"[{'label': 'neutral', 'score': 0.8773552179336548}]","Conversation id: b649ac20-8ecf-4bed-ba79-c234887f4a86 
user >> what song do you think i was working on  punk  
bot >> I think it's a song called'The Devil Went Down to Georgia'by the band The Devil Went Down to Georgia. 
"
2021-10-20 22:25:11+00:00,2707,54,224,Twitter for iPhone, punk,"[{'label': 'positive', 'score': 0.8668163418769836}]","Conversation id: 0b97e487-ca37-49a0-b5f3-809dc0fcf537 
user >>  punk 
bot >> I'm not a fan of the new album, but I'm not going to say it's bad. 
"
2021-10-20 20:33:55+00:00,1866,56,123,Twitter for iPhone,autographed copies of punk  ,"[{'label': 'positive', 'score': 0.8554791808128357}]","Conversation id: 59a2ccc8-1e4c-46cc-afda-bd83e2661a09 
user >> autographed copies of punk   
bot >> I'd buy that. 
"
2021-10-19 23:42:07+00:00,30417,357,3069,Twitter for iPhone,i wanna make slime city solar powered wya elonmusk,"[{'label': 'neutral', 'score': 0.5826730728149414}]","Conversation id: e26581c3-16ad-4296-8024-618c46a037b1 
user >> i wanna make slime city solar powered wya elonmusk 
bot >> I want to make a slime city solar powered wya elonmusk 
"
2021-10-19 17:27:01+00:00,1216,63,126,Twitter for iPhone,exclusive punk merch and album  ,"[{'label': 'positive', 'score': 0.9614477157592773}]","Conversation id: 0d8f6714-f5a9-49b8-9ec0-214512d43e60 
user >> exclusive punk merch and album   
bot >> I'm not sure if you're serious, but I'm pretty sure that's a joke. 
"
2021-10-17 01:09:52+00:00,3152,74,225,Twitter for iPhone,im lighting nyc pnk tonight with lyft punk snl  ,"[{'label': 'positive', 'score': 0.7770105004310608}]","Conversation id: 341ab944-f8b9-43ed-9332-db63560dc232 
user >> im lighting nyc pnk tonight with lyft punk snl   
bot >> I'm in. 
"
2021-10-15 14:25:18+00:00,1058,53,105,Twitter for iPhone,open the lyft app and enter code youngthug in the rewards tab to unlock a sp5der surprise and a promo code on merch.   punk lyftlaunchparty ,"[{'label': 'positive', 'score': 0.9029154181480408}]","Conversation id: 0a4e286a-4eb1-4657-93b8-b058d29a04e7 
user >> open the lyft app and enter code youngthug in the rewards tab to unlock a sp5der surprise and a promo code on merch.   punk lyftlaunchparty  
bot >> I did that and got a code for a free ride. 
"
2021-10-15 07:52:45+00:00,27919,1566,7239,Twitter for iPhone,punk out now ,"[{'label': 'neutral', 'score': 0.8136057257652283}]","Conversation id: a7590626-3ce5-45f2-9bed-db61bcc996ef 
user >> punk out now  
bot >> I'm not sure if you're serious, but I'm pretty sure that's a reference to the movie The Rock. 
"
2021-10-15 04:50:00+00:00,32582,482,5937,Twitter for iPhone,had to add some friends   punk ,"[{'label': 'positive', 'score': 0.8898479342460632}]","Conversation id: d01e1d77-7d2d-4e0f-9ccb-d144f14e6573 
user >> had to add some friends   punk  
bot >> I'm a punk too! 
"
2021-10-15 04:46:24+00:00,60324,561,8226,Twitter for iPhone,punk 12pm pst3am est  ,"[{'label': 'positive', 'score': 0.7265856862068176}]","Conversation id: e7600fab-5987-4859-8461-b61c7a247286 
user >> punk 12pm pst3am est   
bot >> I'm on now 
"
2021-10-14 21:26:19+00:00,37,9,3,Twitter for iPhone,lyft ,"[{'label': 'positive', 'score': 0.8600936532020569}]","Conversation id: 6720c17a-2d54-480d-b5cd-937386c962c0 
user >> lyft  
bot >>  
"
2021-10-14 17:51:44+00:00,9491,245,1380,Twitter for iPhone,watch me surprise lyft drivers with an exclusive first listen.  punk 10.15  sign up for the punk launch party text at 404777punk ,"[{'label': 'positive', 'score': 0.8584113121032715}]","Conversation id: aae2a6dd-48af-46e2-89d1-593f89794740 
user >> watch me surprise lyft drivers with an exclusive first listen.  punk 10.15  sign up for the punk launch party text at 404777punk  
bot >> I'm in. 
"
2021-09-24 04:09:08+00:00,7428,125,1161,Twitter for iPhone,  1gunnagunna 1future ,"[{'label': 'neutral', 'score': 0.6477226614952087}]","Conversation id: 7dc7ebda-70eb-401c-98ea-dac96ec90a1e 
user >>   1gunnagunna 1future  
bot >> 1gunnagunna 1future 
"
2021-09-13 23:17:56+00:00,1357,95,125,Twitter for iPhone,theres still time to win 3k for your pnkinspired jacket print designed with creativecloud. get creating at  youngthugxadobe   ,"[{'label': 'positive', 'score': 0.8444647789001465}]","Conversation id: 73ddb071-38f8-490c-911f-fd96e8752038 
user >> theres still time to win 3k for your pnkinspired jacket print designed with creativecloud. get creating at  youngthugxadobe    
bot >> I'm not sure if I should be proud or ashamed that I got that reference. 
"
2021-08-25 00:22:30+00:00,2286,124,267,Twitter for iPhone,"use creativecloud to design a jacket print inspired by my new album, pnk, and i might end up wearing it... get creating at  youngthugxadobe     ","[{'label': 'positive', 'score': 0.7960559129714966}]","Conversation id: 43922c4f-9a35-44cd-8580-00baaa02adb4 
user >> use creativecloud to design a jacket print inspired by my new album, pnk, and i might end up wearing it... get creating at  youngthugxadobe      
bot >> I'm not sure if you're serious, but I'm going to try and make a jacket print for you. 
"
2021-08-20 14:15:33+00:00,5684,111,1169,Twitter for iPhone,tick tock video out now   ,"[{'label': 'positive', 'score': 0.9240318536758423}]","Conversation id: adbd307f-4aba-443b-9e0f-cd8da14cc929 
user >> tick tock video out now    
bot >> I'm sorry, I'm not sure what you mean. 
"
2021-08-20 04:35:56+00:00,6301,106,894,Twitter for iPhone,tick tock out now. video at 10am east   ,"[{'label': 'positive', 'score': 0.8671414852142334}]","Conversation id: 62a0a65d-5bca-4983-813c-0f1787bceec7 
user >> tick tock out now. video at 10am east    
bot >> I'm in the same boat. I'm going to try to watch it at work. 
"
2021-08-20 02:39:32+00:00,8265,142,1212,Twitter for iPhone,grew this pink iphone 2 weeks ago just for this song. tick tock  midnight  ,"[{'label': 'positive', 'score': 0.9690935015678406}]","Conversation id: 26894938-c50a-4147-a30b-1dbf64c02238 
user >> grew this pink iphone 2 weeks ago just for this song. tick tock  midnight   
bot >> I'm so jealous. 
"
2021-08-05 23:28:21+00:00,1516,85,152,Twitter for iPhone,my luv hidoraah  ,"[{'label': 'positive', 'score': 0.9061434864997864}]","Conversation id: 4ce7282b-2556-4f8f-9d5a-76a1657c78d2 
user >> my luv hidoraah   
bot >> I'm not sure if you're serious or not, but I'm going to upvote you anyway. 
"
2021-08-05 22:25:00+00:00,1491,65,198,Twitter for iPhone, ytbtrench  ,"[{'label': 'positive', 'score': 0.937254011631012}]","Conversation id: 2528bc37-5946-4747-9a46-289a79427e8a 
user >>  ytbtrench   
bot >>  
"
2021-07-27 16:06:32+00:00,15749,213,3453,Twitter for iPhone,  ,"[{'label': 'positive', 'score': 0.9306529760360718}]","Conversation id: ab836582-0388-40d5-b439-b39973c6ef3a 
user >>    
bot >>  
"
2021-07-26 23:27:09+00:00,23358,318,4951,Twitter for iPhone,"tomorrow 12pm east, 9am west nprmusic  ","[{'label': 'positive', 'score': 0.9065426588058472}]","Conversation id: 132cc009-f6f1-40f7-b6ec-fc528493c156 
user >> tomorrow 12pm east, 9am west nprmusic   
bot >> I'm in. 
"
2021-07-13 23:47:57+00:00,38247,578,7137,Twitter for iPhone,slatty,"[{'label': 'neutral', 'score': 0.5347833037376404}]","Conversation id: 35807c34-cda6-442f-8a7c-b81eb0e27b0c 
user >> slatty 
bot >> Slatty is a good guy. 
"
2021-07-09 18:40:17+00:00,1495,67,148,Twitter for iPhone,go up twin ytbtrench  ,"[{'label': 'neutral', 'score': 0.6247786283493042}]","Conversation id: a1fd692b-ff2d-474c-827b-5341a0b4c9dc 
user >> go up twin ytbtrench   
bot >> I'm not sure what that means, but I'm sure it's a good thing. 
"
2021-06-19 01:24:38+00:00,1912,72,272,Twitter for iPhone, 2unfoonk 1future  ,"[{'label': 'neutral', 'score': 0.5644878149032593}]","Conversation id: b135bf88-1d4e-4474-a91d-4bc3c8e149b3 
user >>  2unfoonk 1future   
bot >> 1 
"
2021-06-14 21:00:42+00:00,3158,72,306,Twitter for iPhone,my struggle friday 2unfoonk ,"[{'label': 'neutral', 'score': 0.8960630297660828}]","Conversation id: c6e16350-fd37-4590-93dc-ef760b1f6940 
user >> my struggle friday 2unfoonk  
bot >> I'm sorry 
"
2021-06-10 01:50:01+00:00,2268,55,210,Twitter for iPhone,    ,"[{'label': 'neutral', 'score': 0.8248285055160522}]","Conversation id: 4d999d9d-c25b-4777-b913-bc26a2522359 
user >>      
bot >>  
"
2021-06-04 04:49:24+00:00,8226,126,1011,Twitter for iPhone,voh lilbaby4pf lildurk   ,"[{'label': 'positive', 'score': 0.8855587244033813}]","Conversation id: 06bdece2-b632-4ca4-b1d5-4026fd9c4bdc 
user >> voh lilbaby4pf lildurk    
bot >> I'm not sure if you're serious or not, but I'm going to upvote you anyway. 
"
2021-06-03 05:14:11+00:00,1474,43,129,Twitter for iPhone,the yungest yungkayo  ,"[{'label': 'positive', 'score': 0.6084455251693726}]","Conversation id: 8f85b877-35bc-4b07-8805-259031448de7 
user >> the yungest yungkayo   
bot >> I'm not sure if you're serious or not, but I'm pretty sure that's a reference to the song Yung Lean. 
"
2021-05-24 20:05:59+00:00,4169,95,456,Twitter for iPhone,fitskii skichallenege fitforevaaa ,"[{'label': 'neutral', 'score': 0.8473683595657349}]","Conversation id: 64dd6908-465d-4f35-9c1f-d21edb132564 
user >> fitskii skichallenege fitforevaaa  
bot >> I'm not sure if you're serious, but that's a Finnish word. 
"
2021-05-21 22:52:12+00:00,1606,63,142,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7075852155685425}]","Conversation id: 47e5057d-f043-4503-a55d-8608cfb15478 
user >>   
bot >>  
"
2021-05-17 20:27:05+00:00,20962,242,3310,Twitter for iPhone,  uwebaltner ,"[{'label': 'neutral', 'score': 0.7556079626083374}]","Conversation id: 16274440-7291-4ee9-8860-b497cabeab0a 
user >>   uwebaltner  
bot >> uwebaltner 
"
2021-05-12 19:06:24+00:00,1409,607,133,Twitter for iPhone,  fndadealer  ,"[{'label': 'negative', 'score': 0.5163695812225342}]","Conversation id: c3514ea5-2736-439c-936e-5034ff404783 
user >>   fndadealer   
bot >>  
"
2021-05-07 16:05:49+00:00,1273,242,88,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7427899241447449}]","Conversation id: 3f5d78b8-aa4c-4cb1-bf97-c3cf65d88401 
user >>   
bot >>  
"
2021-05-07 04:04:54+00:00,833,132,113,Twitter for iPhone, ytbtrench ,"[{'label': 'neutral', 'score': 0.8310506939888}]","Conversation id: 526f190a-0b59-445b-9b63-d90e12f3cf10 
user >>  ytbtrench  
bot >> Ytbtrench 
"
2021-05-07 03:40:38+00:00,3462,103,349,Twitter for iPhone,midnight ytbtrench ,"[{'label': 'neutral', 'score': 0.885113000869751}]","Conversation id: 9c708b97-5598-44f1-a991-461e85011318 
user >> midnight ytbtrench  
bot >> I'm not sure if you're serious, but I'm pretty sure that's a bot. 
"
2021-04-30 19:33:38+00:00,8638,132,1277,Twitter for iPhone,part of the genies familyskiii skichallenge ,"[{'label': 'neutral', 'score': 0.6141704320907593}]","Conversation id: a1e9777c-629a-4b93-a65e-33b467b98575 
user >> part of the genies familyskiii skichallenge  
bot >> I'm not sure if you're serious, but I'm pretty sure that's a joke. 
"
2021-04-29 18:20:08+00:00,13702,152,2866,Twitter for iPhone,the  chrisbrown skichallenge     ,"[{'label': 'positive', 'score': 0.7220612168312073}]","Conversation id: bc5cf1ad-73a9-4052-8bb3-3845204ba837 
user >> the  chrisbrown skichallenge      
bot >> I'm not sure if you're serious, but I'm pretty sure that's a real thing. 
"
2021-04-28 17:04:43+00:00,3061,69,494,Twitter for iPhone,"paid the fine video 5pm east, 2pm west 1gunnagunna lilbaby4pf ytbtrench ","[{'label': 'neutral', 'score': 0.8300660252571106}]","Conversation id: 4de07ecd-3cac-4aab-9135-536bd8b713c6 
user >> paid the fine video 5pm east, 2pm west 1gunnagunna lilbaby4pf ytbtrench  
bot >> I'm not sure if you're serious or not, but I'm going to assume you're serious. 
"
