,Unnamed: 0,date,likes,replies,retweets,source,tweet,sentiment
19,19,2022-05-02 19:38:43+00:00,3366,379,219,Twitter for iPhone,Summer Jam 💕 💕 https://t.co/eLiKqsHftW,"[{'label': 'positive', 'score': 0.9614720344543457}]"
20,20,2022-04-01 19:04:35+00:00,84,7,17,Twitter for iPhone,@TShyne time. Confetti Nights https://t.co/sr5dhCGIoJ,"[{'label': 'neutral', 'score': 0.842738926410675}]"
21,21,2022-03-07 19:05:10+00:00,1522,250,127,Twitter for iPhone,Pushin 🅿️ at SXSW w/ @1GunnaGunna | https://t.co/uVg3BC5RIa,"[{'label': 'neutral', 'score': 0.7939600348472595}]"
22,22,2022-02-28 22:25:31+00:00,72086,525,16345,Twitter for iPhone,Just here saying that I miss u ❤️‍🔥,"[{'label': 'positive', 'score': 0.7721670269966125}]"
23,23,2022-02-19 22:07:48+00:00,87558,1315,16192,Twitter for iPhone,I’m lost,"[{'label': 'negative', 'score': 0.48143088817596436}]"
24,24,2022-02-19 22:07:37+00:00,49670,1204,1958,Twitter for iPhone,Y am I trending??,"[{'label': 'neutral', 'score': 0.6596286296844482}]"
25,25,2022-02-05 17:46:59+00:00,45700,722,4850,Twitter for iPhone,Glad I ain’t ever fucked with no broke women 🐍,"[{'label': 'negative', 'score': 0.4805368483066559}]"
26,26,2022-01-28 19:07:34+00:00,4267,240,461,Twitter for iPhone,🥵🥵🥵 @YungKayo_ https://t.co/LpY0detYx5 https://t.co/w2rax8HXos,"[{'label': 'neutral', 'score': 0.4740835130214691}]"
27,27,2022-01-23 00:44:44+00:00,100584,1028,9865,Twitter for iPhone,I miss u so so sooo much mommy💔,"[{'label': 'positive', 'score': 0.5185695886611938}]"
28,28,2022-01-16 19:46:03+00:00,5669,183,471,Twitter for iPhone,gm! now this is 🅿️ 💕,"[{'label': 'positive', 'score': 0.8930810689926147}]"
29,29,2022-01-15 18:38:30+00:00,2483,108,254,Twitter for iPhone,Feed The Fam 🅿️ @TShyne https://t.co/aBmnAGNwCz https://t.co/6gZlYKBbU3,"[{'label': 'positive', 'score': 0.5238368511199951}]"
30,30,2022-01-14 20:07:26+00:00,4209,104,240,Twitter for iPhone,🅿️ Island. 7pm @1GunnaGunna https://t.co/xC8JpkhtiR,"[{'label': 'neutral', 'score': 0.9244830012321472}]"
31,31,2022-01-14 02:34:05+00:00,1084,58,94,Twitter for iPhone,FEED THE FAM tomorrow @TShyne https://t.co/Xv2Zmggo6v,"[{'label': 'neutral', 'score': 0.7757682204246521}]"
32,32,2022-01-14 02:33:19+00:00,2198,55,194,Twitter for iPhone,the yungest @YungKayo_ #DFTK 2/4/22 https://t.co/gDOuUgiZmT,"[{'label': 'neutral', 'score': 0.5875760912895203}]"
33,33,2022-01-13 23:16:38+00:00,3759,119,511,Twitter for iPhone,🅿️  🅿️ower https://t.co/8yNQVsANZn https://t.co/0tQggt68dy,"[{'label': 'neutral', 'score': 0.903984546661377}]"
34,34,2022-01-13 19:46:00+00:00,15690,224,908,Twitter for iPhone,🅿️’s Only https://t.co/PvC0LlrM4I,"[{'label': 'neutral', 'score': 0.9060631394386292}]"
35,35,2022-01-12 21:41:22+00:00,15620,257,2245,Twitter for iPhone,Alex ain’t 🅿️ out now https://t.co/RnFg1WHSTR,"[{'label': 'neutral', 'score': 0.7357026934623718}]"
36,36,2022-01-07 19:00:19+00:00,3268,72,413,Twitter for iPhone,Too Easy 🅿️ https://t.co/4HDd1iJkDY https://t.co/r0nE9gRWHb,"[{'label': 'neutral', 'score': 0.6090505123138428}]"
37,37,2022-01-07 05:08:00+00:00,6420,108,1100,Twitter for iPhone,4EVER 🅿️ https://t.co/8yNQVsjcAN https://t.co/gdOtJNDzJ3,"[{'label': 'neutral', 'score': 0.6955705285072327}]"
38,38,2022-01-04 20:17:48+00:00,35652,176,4212,Twitter for iPhone,DS4 EVER The Fourth and Final Installment 1/7/22 @1GunnaGunna https://t.co/8QhG9UAwQS,"[{'label': 'neutral', 'score': 0.8176572322845459}]"
39,39,2022-01-02 02:38:22+00:00,9958,114,1916,Twitter for iPhone,DS4 1/7/22 @1GunnaGunna 🅿️ https://t.co/1aME7V9jm8,"[{'label': 'neutral', 'score': 0.8896850347518921}]"
40,40,2021-12-27 02:25:09+00:00,1123,39,87,Twitter for iPhone,Live Tonight. Virtual Reality Punk 💕 | @Oculus @SupersphereVR https://t.co/tDtIAJW7HU https://t.co/Zm9Bbap4IA,"[{'label': 'positive', 'score': 0.74497389793396}]"
41,41,2021-12-17 22:50:11+00:00,1027,50,99,Twitter for iPhone,Come watch me perform some new #PUNK in @oculus on 12/26 💕 @SupersphereVR | https://t.co/tDtIAJW7HU https://t.co/Dx3jTremSJ,"[{'label': 'positive', 'score': 0.8673957586288452}]"
42,42,2021-12-17 19:42:47+00:00,2128,57,362,Twitter for iPhone,"Giuseppe Zanotti’s newest. The COBRAS. #GZCobras #GZSS22  

https://t.co/VrNcIRtZLo https://t.co/yXHI1E3ANX","[{'label': 'neutral', 'score': 0.6891567707061768}]"
43,43,2021-12-07 20:07:28+00:00,789,53,73,Twitter for iPhone,The Punk jacket print challenge winners are in. Shout out to everyone who entered. Can’t wait to see this collection come to life. See my second @creativecloud challenge at https://t.co/kVfN0OLlkI 💕 https://t.co/JDcVDn314j,"[{'label': 'positive', 'score': 0.9841655492782593}]"
44,44,2021-12-04 01:43:16+00:00,525,44,60,Twitter for iPhone,Join me now on clubhouse https://t.co/8xsKvStz6y,"[{'label': 'neutral', 'score': 0.7221086621284485}]"
45,45,2021-11-24 09:27:37+00:00,3467,151,230,Twitter for iPhone,💝👀🖤💕🤎🥵💋🌹🔥😇💝,"[{'label': 'positive', 'score': 0.8589701652526855}]"
46,46,2021-11-23 21:00:15+00:00,753,40,77,Twitter for iPhone,You still have time to show me how you would create my Punk cover art. Use @creativecloud to remix it. You might win $10k 💕 Enter at https://t.co/0tTpaM5wgb https://t.co/zIBceBVlLL,"[{'label': 'positive', 'score': 0.8912996053695679}]"
47,47,2021-11-19 18:14:43+00:00,9318,83,926,Twitter for iPhone,Thank you @NFL &amp; @AtlantaFalcons for the #PUNK Suite 🐍 💕 https://t.co/KrjqvAQXwh,"[{'label': 'positive', 'score': 0.9759169220924377}]"
48,48,2021-11-14 22:01:55+00:00,32062,1596,3026,Twitter for iPhone,gm,"[{'label': 'neutral', 'score': 0.6589528322219849}]"
49,49,2021-11-11 21:37:18+00:00,10446,531,1185,Twitter for iPhone,Thanks for the gift @thugbirdz 🪶🪶 https://t.co/drMYkKErjw,"[{'label': 'positive', 'score': 0.9637166261672974}]"
50,50,2021-10-28 23:32:53+00:00,1528,90,185,Twitter for iPhone,"Now that you’ve heard the album, I wanna see what y’all can do with my Punk cover. Remix it using @creativecloud apps for a shot at $10k 💕 To enter, go to https://t.co/0tTpaM5wgb https://t.co/n4VSBbjY3b","[{'label': 'positive', 'score': 0.8133004903793335}]"
51,51,2021-10-21 01:42:48+00:00,18015,533,927,Twitter for iPhone,What song do you think I was working on? 🐍 #PUNK https://t.co/cHd1ArnVxh,"[{'label': 'neutral', 'score': 0.8773552179336548}]"
52,52,2021-10-20 22:25:11+00:00,2707,54,224,Twitter for iPhone,💕 #PUNK,"[{'label': 'positive', 'score': 0.8668163418769836}]"
53,53,2021-10-20 20:33:55+00:00,1866,56,123,Twitter for iPhone,Autographed copies of PUNK 💕💕 https://t.co/4AJLVBn2PV,"[{'label': 'positive', 'score': 0.8554791808128357}]"
54,54,2021-10-19 23:42:07+00:00,30417,357,3069,Twitter for iPhone,I wanna make Slime City solar powered wya @elonmusk,"[{'label': 'neutral', 'score': 0.5826730728149414}]"
55,55,2021-10-19 17:27:01+00:00,1216,63,126,Twitter for iPhone,Exclusive PUNK Merch and album 💕💕💕 https://t.co/sME0iN1kMa,"[{'label': 'positive', 'score': 0.9614477157592773}]"
56,56,2021-10-17 01:09:52+00:00,3152,74,225,Twitter for iPhone,I’m lighting NYC P*NK tonight with @Lyft #PUNK #SNL 💕 🐍,"[{'label': 'positive', 'score': 0.7770105004310608}]"
57,57,2021-10-15 14:25:18+00:00,1058,53,105,Twitter for iPhone,Open the @Lyft app and enter code YOUNGTHUG in the Rewards tab to unlock a SP5DER surprise and a promo code on merch. 💕 🕷️ #PUNK #LyftLaunchParty https://t.co/zzeEz1KwiN,"[{'label': 'positive', 'score': 0.9029154181480408}]"
58,58,2021-10-15 07:52:45+00:00,27919,1566,7239,Twitter for iPhone,PUNK OUT NOW https://t.co/FLdqxK4Qhv,"[{'label': 'neutral', 'score': 0.8136057257652283}]"
59,59,2021-10-15 04:50:00+00:00,32582,482,5937,Twitter for iPhone,Had to add some friends 🐍 💕 #PUNK https://t.co/AqTzTvVXz3,"[{'label': 'positive', 'score': 0.8898479342460632}]"
60,60,2021-10-15 04:46:24+00:00,60324,561,8226,Twitter for iPhone,PUNK 12pm PST/3am EST 💕 https://t.co/wWCs9W7ikM,"[{'label': 'positive', 'score': 0.7265856862068176}]"
61,61,2021-10-14 21:26:19+00:00,37,9,3,Twitter for iPhone,@lyft 💕,"[{'label': 'positive', 'score': 0.8600936532020569}]"
62,62,2021-10-14 17:51:44+00:00,9491,245,1380,Twitter for iPhone,"Watch me surprise @Lyft drivers with an exclusive first listen. 💕 PUNK 10.15 🐍 

Sign up for the Punk Launch Party Text at (404)-777-PUNK https://t.co/oZ7kckvS6W","[{'label': 'positive', 'score': 0.8584113121032715}]"
63,63,2021-09-24 04:09:08+00:00,7428,125,1161,Twitter for iPhone,🐍 🦅 @1GunnaGunna @1future https://t.co/gVopJSL5Yv,"[{'label': 'neutral', 'score': 0.6477226614952087}]"
64,64,2021-09-13 23:17:56+00:00,1357,95,125,Twitter for iPhone,There’s still time to win $3K for your P*NK-inspired jacket print designed with @creativecloud. Get creating at https://t.co/VYCTZ7PqpW #YoungThugxAdobe 💕 🐍 https://t.co/NsQW3gU5It,"[{'label': 'positive', 'score': 0.8444647789001465}]"
65,65,2021-08-25 00:22:30+00:00,2286,124,267,Twitter for iPhone,"Use @creativecloud to design a jacket print inspired by my new album, P*NK, and I might end up wearing it... get creating at https://t.co/9Mq3ZTiERs #YoungThugxAdobe 💕 🐍 | https://t.co/kVfN0OLlkI https://t.co/dVxO4EdilZ","[{'label': 'positive', 'score': 0.7960559129714966}]"
66,66,2021-08-20 14:15:33+00:00,5684,111,1169,Twitter for iPhone,Tick Tock video out now 💕 https://t.co/wWw3hX1o8y https://t.co/e0NuEwNboa,"[{'label': 'positive', 'score': 0.9240318536758423}]"
67,67,2021-08-20 04:35:56+00:00,6301,106,894,Twitter for iPhone,Tick Tock out now. Video at 10am east 💕💕 https://t.co/KjjRkwvWk7 https://t.co/zGfs4V4CYY,"[{'label': 'positive', 'score': 0.8671414852142334}]"
68,68,2021-08-20 02:39:32+00:00,8265,142,1212,Twitter for iPhone,Grew this pink iPhone 2 weeks ago just for this song. Tick Tock @ midnight 💕💕 https://t.co/p1gxrbUIp4,"[{'label': 'positive', 'score': 0.9690935015678406}]"
69,69,2021-08-05 23:28:21+00:00,1516,85,152,Twitter for iPhone,my luv @HiDoraah https://t.co/BLkrRObUPX https://t.co/V7vEqxM1hM,"[{'label': 'positive', 'score': 0.9061434864997864}]"
70,70,2021-08-05 22:25:00+00:00,1491,65,198,Twitter for iPhone,💕💕 @YtbTrench https://t.co/4WcrGPfhr0 https://t.co/8P4poEVhae,"[{'label': 'positive', 'score': 0.937254011631012}]"
71,71,2021-07-27 16:06:32+00:00,15749,213,3453,Twitter for iPhone,💕💕💕 https://t.co/FegZ0Npiyt https://t.co/od7ldxwC4x,"[{'label': 'positive', 'score': 0.9306529760360718}]"
72,72,2021-07-26 23:27:09+00:00,23358,318,4951,Twitter for iPhone,"tomorrow 12pm east, 9am west @nprmusic 💕💕 https://t.co/DfD9JtxIA6","[{'label': 'positive', 'score': 0.9065426588058472}]"
73,73,2021-07-13 23:47:57+00:00,38247,578,7137,Twitter for iPhone,Slatty,"[{'label': 'neutral', 'score': 0.5347833037376404}]"
74,74,2021-07-09 18:40:17+00:00,1495,67,148,Twitter for iPhone,Go up twin @YtbTrench https://t.co/HjsN7aqCPk https://t.co/3kGJ3Xznnt,"[{'label': 'neutral', 'score': 0.6247786283493042}]"
75,75,2021-06-19 01:24:38+00:00,1912,72,272,Twitter for iPhone,🐍🦅 @2Unfoonk @1future https://t.co/mwX981jHNF https://t.co/fLhOTaDvGH,"[{'label': 'neutral', 'score': 0.5644878149032593}]"
76,76,2021-06-14 21:00:42+00:00,3158,72,306,Twitter for iPhone,“My Struggle” FRIDAY @2Unfoonk https://t.co/TqC42GUUBY,"[{'label': 'neutral', 'score': 0.8960630297660828}]"
77,77,2021-06-10 01:50:01+00:00,2268,55,210,Twitter for iPhone,⛷ ⛷ ⛷ https://t.co/s1cRu83nZt https://t.co/wPTOuS3AhQ,"[{'label': 'neutral', 'score': 0.8248285055160522}]"
78,78,2021-06-04 04:49:24+00:00,8226,126,1011,Twitter for iPhone,VOH @lilbaby4PF @lildurk 🤞🏾🤞🏾🤞🏾 https://t.co/rLCjGC4rMV https://t.co/k1LS9RxaH9,"[{'label': 'positive', 'score': 0.8855587244033813}]"
79,79,2021-06-03 05:14:11+00:00,1474,43,129,Twitter for iPhone,the yungest @YungKayo_ https://t.co/fB6ixF3v7U https://t.co/qFIvKWj5tB,"[{'label': 'positive', 'score': 0.6084455251693726}]"
80,80,2021-05-24 20:05:59+00:00,4169,95,456,Twitter for iPhone,Fitskii #skichallenege @fitforevaaa https://t.co/DjMtM7QFdW,"[{'label': 'neutral', 'score': 0.8473683595657349}]"
81,81,2021-05-21 22:52:12+00:00,1606,63,142,Twitter for iPhone,https://t.co/wUUAnpz7lO https://t.co/zDFXxqOhrR,"[{'label': 'neutral', 'score': 0.7075852155685425}]"
82,82,2021-05-17 20:27:05+00:00,20962,242,3310,Twitter for iPhone,😂😂😂 ⛷ @uwebaltner https://t.co/B9NfDa4Xtv,"[{'label': 'neutral', 'score': 0.7556079626083374}]"
83,83,2021-05-12 19:06:24+00:00,1409,607,133,Twitter for iPhone,🤧 🤧 @FNDaDealer https://t.co/evSyqmPRtu https://t.co/fBLbptikLj,"[{'label': 'negative', 'score': 0.5163695812225342}]"
84,84,2021-05-07 16:05:49+00:00,1273,242,88,Twitter for iPhone,https://t.co/wUUAnpQIdm https://t.co/I2SdWxzssq,"[{'label': 'neutral', 'score': 0.7427899241447449}]"
85,85,2021-05-07 04:04:54+00:00,833,132,113,Twitter for iPhone,https://t.co/hKetqyly2K @YtbTrench https://t.co/3n8wqqpEca,"[{'label': 'neutral', 'score': 0.8310506939888}]"
86,86,2021-05-07 03:40:38+00:00,3462,103,349,Twitter for iPhone,Midnight @YtbTrench https://t.co/iyD7UHc5gp,"[{'label': 'neutral', 'score': 0.885113000869751}]"
87,87,2021-04-30 19:33:38+00:00,8638,132,1277,Twitter for iPhone,Part of the @genies familyskiii #skichallenge https://t.co/xMqFjfnVmf,"[{'label': 'neutral', 'score': 0.6141704320907593}]"
88,88,2021-04-29 18:20:08+00:00,13702,152,2866,Twitter for iPhone,The 🐐 @chrisbrown #skichallenge ⛷  ⛷ ⛷ https://t.co/uuw5lypwQk,"[{'label': 'positive', 'score': 0.7220612168312073}]"
89,89,2021-04-28 17:04:43+00:00,3061,69,494,Twitter for iPhone,"Paid The Fine video 5pm east, 2pm west @1GunnaGunna @lilbaby4PF @YtbTrench https://t.co/g4WjpkQyUy","[{'label': 'neutral', 'score': 0.8300660252571106}]"
90,90,2021-04-28 01:58:32+00:00,11738,147,1221,Twitter for iPhone,Kirkskiii 😂😂 @DaBabyDaBaby #skichallenge https://t.co/dMXpw91zEc,"[{'label': 'neutral', 'score': 0.5938865542411804}]"
91,91,2021-04-27 22:13:30+00:00,4011,86,436,Twitter for iPhone,Nextskiii @YtbTrench https://t.co/MzJFv489lG,"[{'label': 'neutral', 'score': 0.801239013671875}]"
92,92,2021-04-23 07:07:46+00:00,5951,117,930,Twitter for iPhone,deluxe us https://t.co/hm2JKPNErJ https://t.co/SyoTXcR0kL,"[{'label': 'neutral', 'score': 0.7675222158432007}]"
93,93,2021-04-23 02:31:12+00:00,74984,921,11992,Twitter for iPhone,"Fuck it I’m mad... deluxe tonight @ 3am east, midnight west https://t.co/6Po13rBnUx","[{'label': 'negative', 'score': 0.8998806476593018}]"
94,94,2021-04-22 20:00:30+00:00,2196,85,186,Twitter for iPhone,Limited editions signed by me and @1GunnaGunna https://t.co/kICJ10sO9x https://t.co/gU6095nQhP,"[{'label': 'neutral', 'score': 0.783403754234314}]"
95,95,2021-04-22 15:34:10+00:00,11488,156,2582,Twitter for iPhone,Warzone Squadskiii wearing all SP5DER ☺️ @CallofDuty #COD_PARTNER 🎥: @GibsonHazard https://t.co/M40jk9BFez,"[{'label': 'positive', 'score': 0.7682795524597168}]"
96,96,2021-04-22 00:51:41+00:00,3813,49,354,Twitter for iPhone,Gangskiii @1bslime_  #SkiChallenge https://t.co/wWgiwYbAKm,"[{'label': 'neutral', 'score': 0.8255589604377747}]"
97,97,2021-04-21 17:09:46+00:00,8631,94,885,Twitter for iPhone,Goin upskiii 😱⛷🐍 @coileray #SkiChallenge https://t.co/mV7E49epdf,"[{'label': 'neutral', 'score': 0.677570641040802}]"
98,98,2021-04-20 19:14:32+00:00,3649,56,524,Twitter for iPhone,"5pm east, 2pm west https://t.co/kU0U3mMszK","[{'label': 'neutral', 'score': 0.8896133303642273}]"
99,99,2021-04-20 19:14:04+00:00,3983,1731,369,Twitter for iPhone,Feeling rich this week ⛷ comment your $cashtag and #skichallenge to win some Bitcoin https://t.co/iXvmtpV54M,"[{'label': 'positive', 'score': 0.876819908618927}]"
100,100,2021-04-20 17:01:32+00:00,5060,3876,807,Twitter for iPhone,#SkiChallenge giveaway https://t.co/tva2g7ApJE,"[{'label': 'positive', 'score': 0.5037573575973511}]"
101,101,2021-04-19 22:09:33+00:00,27682,206,4061,Twitter for iPhone,😂😂😂 @KevinHart4real #skichallenge  ⛷⛷⛷ @therock next 👀 https://t.co/umN1pRaxUA,"[{'label': 'neutral', 'score': 0.6663718819618225}]"
102,102,2021-04-19 17:55:08+00:00,31587,303,4389,Twitter for iPhone,Drakeskiii who next 👀 ? @drake ⛷🐍🦉 #SkiChallenge https://t.co/Qsn0BrJGTg,"[{'label': 'neutral', 'score': 0.8709527850151062}]"
103,103,2021-04-18 23:59:46+00:00,17760,73,3139,Twitter for iPhone,#SkiChallenge global 🌎 🌎 🌎,"[{'label': 'neutral', 'score': 0.807039737701416}]"
104,104,2021-04-18 18:41:36+00:00,5899,66,570,Twitter for iPhone,You gon need 3 promoters ‼️🐍⛷ @swaelee #skichallenge https://t.co/6D3OKl761J,"[{'label': 'neutral', 'score': 0.8029588460922241}]"
105,105,2021-04-17 22:36:55+00:00,26795,290,4454,Twitter for iPhone,Sayless @1future ⛷⛷⛷#skichallenge https://t.co/1hXTDnJP05,"[{'label': 'neutral', 'score': 0.6154537200927734}]"
106,106,2021-04-17 20:21:24+00:00,12159,146,1463,Twitter for iPhone,🔥⛷🐍 @quavostuntin #skichallenge who next?? https://t.co/EXEpV6h2ty,"[{'label': 'neutral', 'score': 0.7785024642944336}]"
107,107,2021-04-17 01:27:00+00:00,12453,139,2357,Twitter for iPhone,⛷ ⛷⛷ nowskiii   https://t.co/pZgtOubMDj https://t.co/M89gHqsx0v,"[{'label': 'neutral', 'score': 0.8975307941436768}]"
108,108,2021-04-16 23:53:40+00:00,9310,730,1425,Twitter for iPhone,https://t.co/iL1uj2uz7s,"[{'label': 'neutral', 'score': 0.7657750844955444}]"
109,109,2021-04-16 20:45:21+00:00,33435,415,5809,Twitter for iPhone,Y’all ready??? ⛷ ⛷ ⛷ https://t.co/e4rfI2r29z,"[{'label': 'neutral', 'score': 0.8594358563423157}]"
110,110,2021-04-16 04:39:25+00:00,13083,245,2601,Twitter for iPhone,Skiii ⛷ SL2 out now @gunna @diddy tag who next #SkiChallenge https://t.co/RI3Tk35W40,"[{'label': 'neutral', 'score': 0.9176141023635864}]"
111,111,2021-04-13 19:21:38+00:00,2487,65,201,Twitter for iPhone,https://t.co/wUUAnpQIdm https://t.co/98s193Ktec,"[{'label': 'neutral', 'score': 0.7705792784690857}]"
112,112,2021-04-13 00:03:22+00:00,172697,1805,39842,Twitter for iPhone,4/16 THE ALBUM https://t.co/Lxr5rhyavJ,"[{'label': 'neutral', 'score': 0.8025139570236206}]"
113,113,2021-02-12 05:13:08+00:00,3847,194,545,Twitter for iPhone,https://t.co/1Vo7XZpFur,"[{'label': 'neutral', 'score': 0.7822268605232239}]"
114,114,2021-01-30 21:04:51+00:00,2245,108,155,Twitter for iPhone,https://t.co/7J9P5yKYPG https://t.co/tYyCeO2zYh,"[{'label': 'neutral', 'score': 0.6649935841560364}]"
115,115,2021-01-29 04:17:27+00:00,1883,92,216,Twitter for iPhone,https://t.co/TpWBFAHkEu https://t.co/tPPuYTbc0o,"[{'label': 'neutral', 'score': 0.7343925833702087}]"
116,116,2020-12-19 17:22:48+00:00,3753,203,259,Twitter for iPhone,https://t.co/LETMC2h3Sy https://t.co/0iOtXIfHpY,"[{'label': 'neutral', 'score': 0.7883545756340027}]"
117,117,2020-12-19 04:07:29+00:00,10215,153,1078,Twitter for iPhone,https://t.co/LETMC2h3Sy https://t.co/Iu19gMU8NF,"[{'label': 'neutral', 'score': 0.8008175492286682}]"
118,118,2020-12-18 05:12:30+00:00,9774,263,1840,Twitter for iPhone,TTSTT https://t.co/SvlBzr8PJJ https://t.co/fsKkohkRyw,"[{'label': 'neutral', 'score': 0.7649648785591125}]"
119,119,2020-10-02 23:46:01+00:00,1034,24,193,Twitter for iPhone,@YungKayo_ https://t.co/TC3FrAfxat,"[{'label': 'neutral', 'score': 0.8857235312461853}]"
120,120,2020-09-16 05:34:44+00:00,85306,855,13357,Twitter for iPhone,Put that gun down son..💀,"[{'label': 'negative', 'score': 0.8948891162872314}]"
121,121,2020-07-29 22:59:48+00:00,40333,1117,2299,Twitter for iPhone,Twitter was hacked 🖤,"[{'label': 'neutral', 'score': 0.5146508812904358}]"
122,122,2020-07-17 04:35:42+00:00,43633,713,5666,Twitter for iPhone,Just so u know James harden is my brada... btw he don’t have internet so he obviously don’t know what’s right or wrong if he posted something that’s against US...but I hate when rappers get in niggas biz like it’s can’t happen to em💥 buster let niggas clear they shit up activist,"[{'label': 'neutral', 'score': 0.4731179177761078}]"
123,123,2020-05-29 17:29:07+00:00,5336,113,576,Twitter for iPhone,🐍 🐍 🐍,"[{'label': 'neutral', 'score': 0.7686722874641418}]"
124,124,2020-05-21 22:41:27+00:00,14260,145,1998,Twitter for iPhone,#WUNNA,"[{'label': 'neutral', 'score': 0.7644060254096985}]"
125,125,2020-05-15 16:39:14+00:00,10673,157,1707,Twitter for iPhone,🌊 🌊 🌊 https://t.co/juBe0OZMGd https://t.co/a8rQyKY16F,"[{'label': 'positive', 'score': 0.5997939705848694}]"
126,126,2020-05-14 21:36:19+00:00,3992,122,458,Twitter for iPhone,stay home &amp; shop  https://t.co/ETyqtr2x7S,"[{'label': 'neutral', 'score': 0.8538659811019897}]"
127,127,2020-05-11 19:23:28+00:00,8797,159,1575,Twitter for iPhone,My son drop Friday @1lilKeed https://t.co/FX7sSmUjIx https://t.co/CUjrTQbMOV,"[{'label': 'neutral', 'score': 0.6846112012863159}]"
128,128,2020-05-08 17:31:58+00:00,10462,119,1100,Twitter for iPhone,Originator #outwestchallenge 💚 https://t.co/CkBKdnBNIB,"[{'label': 'positive', 'score': 0.7086513638496399}]"
129,129,2020-05-06 19:57:49+00:00,930,30,91,Twitter for iPhone,🍎 🍏 🍎 🍏 @AppleMusic https://t.co/XMkACv6m9e https://t.co/OHtb2JBUD0,"[{'label': 'neutral', 'score': 0.5921278595924377}]"
130,130,2020-05-06 19:56:46+00:00,4233,99,643,Twitter for iPhone,SLIME&amp;B @Spotify https://t.co/XWyTheuJMu https://t.co/KQYENgWtfM,"[{'label': 'neutral', 'score': 0.7869083285331726}]"
131,131,2020-05-06 00:27:02+00:00,69363,1018,8516,Twitter for iPhone,I recorded all the verses in one day #OnGod,"[{'label': 'positive', 'score': 0.7361712455749512}]"
