,Unnamed: 0,date,likes,replies,retweets,source,tweet,sentiment,ai_reply,reply_sentiment
13,13,2022-08-31 20:23:32+00:00,47412,440,2814,Twitter for iPhone,how long do you think it would take ,"[{'label': 'neutral', 'score': 0.9366263151168823}]",I think it would take about a week.,"[{'label': 'neutral', 'score': 0.8556078672409058}]"
14,14,2022-08-31 18:31:32+00:00,145114,1644,12580,Twitter for iPhone,im talking with my roommate and were wondering if you could swim 100 miles from the middle of the ocean back to shore  michaelphelps ,"[{'label': 'neutral', 'score': 0.8323708176612854}]",I can't swim 100 miles from the middle of the ocean back to shore.,"[{'label': 'negative', 'score': 0.648294985294342}]"
15,15,2022-08-31 00:43:41+00:00,51236,759,2886,Twitter for iPhone,i love me some mrs. spider ,"[{'label': 'positive', 'score': 0.9747057557106018}]",I love me some mrs. spider,"[{'label': 'positive', 'score': 0.9659726619720459}]"
16,16,2022-08-18 21:38:10+00:00,59473,785,4581,Twitter for iPhone,still muh birthday doe lol,"[{'label': 'positive', 'score': 0.8735977411270142}]",Happy birthday!,"[{'label': 'positive', 'score': 0.9789436459541321}]"
17,17,2022-08-18 21:36:44+00:00,91212,1527,8174,Twitter for iPhone,,"[{'label': 'negative', 'score': 0.6432451009750366}]",,NA
18,18,2022-08-18 01:05:02+00:00,130865,1878,11410,Twitter for iPhone,still muh birthday ,"[{'label': 'negative', 'score': 0.5635977387428284}]",Happy birthday!,"[{'label': 'positive', 'score': 0.9789436459541321}]"
19,19,2022-05-02 19:38:43+00:00,3366,379,219,Twitter for iPhone,summer jam   ,"[{'label': 'positive', 'score': 0.9614720344543457}]","I'm not sure if you're serious, but I'm pretty sure that's a real thing.","[{'label': 'neutral', 'score': 0.5868633985519409}]"
20,20,2022-04-01 19:04:35+00:00,84,7,17,Twitter for iPhone,tshyne time. confetti nights ,"[{'label': 'neutral', 'score': 0.842738926410675}]",I'm not sure if I should be happy or sad that I got to see this.,"[{'label': 'negative', 'score': 0.8353821039199829}]"
21,21,2022-03-07 19:05:10+00:00,1522,250,127,Twitter for iPhone,pushin  at sxsw w 1gunnagunna  ,"[{'label': 'neutral', 'score': 0.7939600348472595}]","I'm not sure if you're serious or not, but I'm going to assume you're serious.","[{'label': 'neutral', 'score': 0.6109818816184998}]"
22,22,2022-02-28 22:25:31+00:00,72086,525,16345,Twitter for iPhone,just here saying that i miss u ,"[{'label': 'positive', 'score': 0.7721670269966125}]",I miss you too,"[{'label': 'neutral', 'score': 0.5083838105201721}]"
23,23,2022-02-19 22:07:48+00:00,87558,1315,16192,Twitter for iPhone,im lost,"[{'label': 'negative', 'score': 0.48143088817596436}]",I'm lost too.,"[{'label': 'negative', 'score': 0.6762501001358032}]"
24,24,2022-02-19 22:07:37+00:00,49670,1204,1958,Twitter for iPhone,y am i trending,"[{'label': 'neutral', 'score': 0.6596286296844482}]",Because you're a good person.,"[{'label': 'positive', 'score': 0.9066987037658691}]"
25,25,2022-02-05 17:46:59+00:00,45700,722,4850,Twitter for iPhone,glad i aint ever fucked with no broke women ,"[{'label': 'negative', 'score': 0.4805368483066559}]",I'm glad I'm not a woman.,"[{'label': 'negative', 'score': 0.6781390905380249}]"
26,26,2022-01-28 19:07:34+00:00,4267,240,461,Twitter for iPhone, yungkayo  ,"[{'label': 'neutral', 'score': 0.4740835130214691}]","Yungkayo is a good one, but I think he's a bit too young for this.","[{'label': 'neutral', 'score': 0.4302857220172882}]"
27,27,2022-01-23 00:44:44+00:00,100584,1028,9865,Twitter for iPhone,i miss u so so sooo much mommy,"[{'label': 'positive', 'score': 0.5185695886611938}]","I miss you too, honey.","[{'label': 'positive', 'score': 0.7492759227752686}]"
28,28,2022-01-16 19:46:03+00:00,5669,183,471,Twitter for iPhone,gm now this is  ,"[{'label': 'positive', 'score': 0.8930810689926147}]","I'm not sure if you're being sarcastic or not, but I'm pretty sure this is a joke.","[{'label': 'negative', 'score': 0.552979588508606}]"
29,29,2022-01-15 18:38:30+00:00,2483,108,254,Twitter for iPhone,feed the fam  tshyne  ,"[{'label': 'positive', 'score': 0.5238368511199951}]","I'm not sure if you're being serious or not, but I'm pretty sure that's a reference to the movie The Big Lebowski.","[{'label': 'neutral', 'score': 0.6888142824172974}]"
30,30,2022-01-14 20:07:26+00:00,4209,104,240,Twitter for iPhone, island. 7pm 1gunnagunna ,"[{'label': 'neutral', 'score': 0.9244830012321472}]",I'm in.,"[{'label': 'neutral', 'score': 0.532194972038269}]"
31,31,2022-01-14 02:34:05+00:00,1084,58,94,Twitter for iPhone,feed the fam tomorrow tshyne ,"[{'label': 'neutral', 'score': 0.7757682204246521}]",I'm not sure if I should be proud or ashamed that I got this reference.,"[{'label': 'negative', 'score': 0.7396925091743469}]"
32,32,2022-01-14 02:33:19+00:00,2198,55,194,Twitter for iPhone,the yungest yungkayo dftk 2422 ,"[{'label': 'neutral', 'score': 0.5875760912895203}]","I'm not sure if you're serious, but I'm pretty sure that's a bot.","[{'label': 'negative', 'score': 0.792626142501831}]"
33,33,2022-01-13 23:16:38+00:00,3759,119,511,Twitter for iPhone,  ower  ,"[{'label': 'neutral', 'score': 0.903984546661377}]",I'm not sure if you're being serious or not.,"[{'label': 'negative', 'score': 0.500285804271698}]"
34,34,2022-01-13 19:46:00+00:00,15690,224,908,Twitter for iPhone,s only ,"[{'label': 'neutral', 'score': 0.9060631394386292}]","I'm sorry, I'm not a native English speaker.","[{'label': 'negative', 'score': 0.6946633458137512}]"
35,35,2022-01-12 21:41:22+00:00,15620,257,2245,Twitter for iPhone,alex aint  out now ,"[{'label': 'neutral', 'score': 0.7357026934623718}]",He's out for the rest of the season.,"[{'label': 'neutral', 'score': 0.5185756683349609}]"
36,36,2022-01-07 19:00:19+00:00,3268,72,413,Twitter for iPhone,too easy   ,"[{'label': 'neutral', 'score': 0.6090505123138428}]",I'm not sure if you're being serious or not.,"[{'label': 'negative', 'score': 0.500285804271698}]"
37,37,2022-01-07 05:08:00+00:00,6420,108,1100,Twitter for iPhone,4ever   ,"[{'label': 'neutral', 'score': 0.6955705285072327}]","I'm sorry, I don't speak Japanese.","[{'label': 'negative', 'score': 0.725942850112915}]"
38,38,2022-01-04 20:17:48+00:00,35652,176,4212,Twitter for iPhone,ds4 ever the fourth and final installment 1722 1gunnagunna ,"[{'label': 'neutral', 'score': 0.8176572322845459}]","I'm not sure if you're serious or not, but I'm going to assume you're serious.","[{'label': 'neutral', 'score': 0.6109818816184998}]"
39,39,2022-01-02 02:38:22+00:00,9958,114,1916,Twitter for iPhone,ds4 1722 1gunnagunna  ,"[{'label': 'neutral', 'score': 0.8896850347518921}]","I'm not sure if you're serious, but I'm not sure if you're serious, but I'm not sure if you're serious, but I'm not sure if you're serious, but I'm not sure.","[{'label': 'negative', 'score': 0.6787316203117371}]"
40,40,2021-12-27 02:25:09+00:00,1123,39,87,Twitter for iPhone,live tonight. virtual reality punk   oculus superspherevr  ,"[{'label': 'positive', 'score': 0.74497389793396}]",I'm going to be in the room.,"[{'label': 'neutral', 'score': 0.8650011420249939}]"
41,41,2021-12-17 22:50:11+00:00,1027,50,99,Twitter for iPhone,come watch me perform some new punk in oculus on 1226  superspherevr   ,"[{'label': 'positive', 'score': 0.8673957586288452}]",I'm in.,"[{'label': 'neutral', 'score': 0.532194972038269}]"
42,42,2021-12-17 19:42:47+00:00,2128,57,362,Twitter for iPhone,giuseppe zanottis newest. the cobras. gzcobras gzss22   ,"[{'label': 'neutral', 'score': 0.6891567707061768}]","I'm not sure if you're serious, but I'm pretty sure that's a joke.","[{'label': 'negative', 'score': 0.681525707244873}]"
43,43,2021-12-07 20:07:28+00:00,789,53,73,Twitter for iPhone,the punk jacket print challenge winners are in. shout out to everyone who entered. cant wait to see this collection come to life. see my second creativecloud challenge at   ,"[{'label': 'positive', 'score': 0.9841655492782593}]",I'm in!,"[{'label': 'positive', 'score': 0.8281314373016357}]"
44,44,2021-12-04 01:43:16+00:00,525,44,60,Twitter for iPhone,join me now on clubhouse ,"[{'label': 'neutral', 'score': 0.7221086621284485}]",I'm in,"[{'label': 'neutral', 'score': 0.5031018257141113}]"
45,45,2021-11-24 09:27:37+00:00,3467,151,230,Twitter for iPhone,,"[{'label': 'positive', 'score': 0.8589701652526855}]",,NA
46,46,2021-11-23 21:00:15+00:00,753,40,77,Twitter for iPhone,you still have time to show me how you would create my punk cover art. use creativecloud to remix it. you might win 10k  enter at  ,"[{'label': 'positive', 'score': 0.8912996053695679}]","I'm not sure if you're serious or not, but I'm not sure if you're serious either.","[{'label': 'negative', 'score': 0.6984329223632812}]"
47,47,2021-11-19 18:14:43+00:00,9318,83,926,Twitter for iPhone,thank you nfl & atlantafalcons for the punk suite   ,"[{'label': 'positive', 'score': 0.9759169220924377}]","I'm not sure if you're being sarcastic or not, but I'm pretty sure that's a real thing.","[{'label': 'neutral', 'score': 0.5809552073478699}]"
48,48,2021-11-14 22:01:55+00:00,32062,1596,3026,Twitter for iPhone,gm,"[{'label': 'neutral', 'score': 0.6589528322219849}]",,NA
49,49,2021-11-11 21:37:18+00:00,10446,531,1185,Twitter for iPhone,thanks for the gift thugbirdz  ,"[{'label': 'positive', 'score': 0.9637166261672974}]",You're welcome,"[{'label': 'positive', 'score': 0.8377255201339722}]"
50,50,2021-10-28 23:32:53+00:00,1528,90,185,Twitter for iPhone,"now that youve heard the album, i wanna see what yall can do with my punk cover. remix it using creativecloud apps for a shot at 10k  to enter, go to  ","[{'label': 'positive', 'score': 0.8133004903793335}]","I'm not sure if I can do that, but I'll try.","[{'label': 'negative', 'score': 0.5684139132499695}]"
51,51,2021-10-21 01:42:48+00:00,18015,533,927,Twitter for iPhone,what song do you think i was working on  punk ,"[{'label': 'neutral', 'score': 0.8773552179336548}]",I think it's a song called'The Devil Went Down to Georgia'by the band The Devil Went Down to Georgia.,"[{'label': 'neutral', 'score': 0.874372124671936}]"
52,52,2021-10-20 22:25:11+00:00,2707,54,224,Twitter for iPhone, punk,"[{'label': 'positive', 'score': 0.8668163418769836}]","I'm not a fan of the new album, but I'm not going to say it's bad.","[{'label': 'negative', 'score': 0.6931262016296387}]"
53,53,2021-10-20 20:33:55+00:00,1866,56,123,Twitter for iPhone,autographed copies of punk  ,"[{'label': 'positive', 'score': 0.8554791808128357}]",I'd buy that.,"[{'label': 'positive', 'score': 0.8420209288597107}]"
54,54,2021-10-19 23:42:07+00:00,30417,357,3069,Twitter for iPhone,i wanna make slime city solar powered wya elonmusk,"[{'label': 'neutral', 'score': 0.5826730728149414}]",I want to make a slime city solar powered wya elonmusk,"[{'label': 'neutral', 'score': 0.59413081407547}]"
55,55,2021-10-19 17:27:01+00:00,1216,63,126,Twitter for iPhone,exclusive punk merch and album  ,"[{'label': 'positive', 'score': 0.9614477157592773}]","I'm not sure if you're serious, but I'm pretty sure that's a joke.","[{'label': 'negative', 'score': 0.681525707244873}]"
56,56,2021-10-17 01:09:52+00:00,3152,74,225,Twitter for iPhone,im lighting nyc pnk tonight with lyft punk snl  ,"[{'label': 'positive', 'score': 0.7770105004310608}]",I'm in.,"[{'label': 'neutral', 'score': 0.532194972038269}]"
57,57,2021-10-15 14:25:18+00:00,1058,53,105,Twitter for iPhone,open the lyft app and enter code youngthug in the rewards tab to unlock a sp5der surprise and a promo code on merch.   punk lyftlaunchparty ,"[{'label': 'positive', 'score': 0.9029154181480408}]",I did that and got a code for a free ride.,"[{'label': 'neutral', 'score': 0.6417872309684753}]"
58,58,2021-10-15 07:52:45+00:00,27919,1566,7239,Twitter for iPhone,punk out now ,"[{'label': 'neutral', 'score': 0.8136057257652283}]","I'm not sure if you're serious, but I'm pretty sure that's a reference to the movie The Rock.","[{'label': 'neutral', 'score': 0.7230403423309326}]"
59,59,2021-10-15 04:50:00+00:00,32582,482,5937,Twitter for iPhone,had to add some friends   punk ,"[{'label': 'positive', 'score': 0.8898479342460632}]",I'm a punk too!,"[{'label': 'negative', 'score': 0.6535881161689758}]"
60,60,2021-10-15 04:46:24+00:00,60324,561,8226,Twitter for iPhone,punk 12pm pst3am est  ,"[{'label': 'positive', 'score': 0.7265856862068176}]",I'm on now,"[{'label': 'neutral', 'score': 0.6547280550003052}]"
61,61,2021-10-14 21:26:19+00:00,37,9,3,Twitter for iPhone,lyft ,"[{'label': 'positive', 'score': 0.8600936532020569}]",,NA
62,62,2021-10-14 17:51:44+00:00,9491,245,1380,Twitter for iPhone,watch me surprise lyft drivers with an exclusive first listen.  punk 10.15  sign up for the punk launch party text at 404777punk ,"[{'label': 'positive', 'score': 0.8584113121032715}]",I'm in.,"[{'label': 'neutral', 'score': 0.532194972038269}]"
63,63,2021-09-24 04:09:08+00:00,7428,125,1161,Twitter for iPhone,  1gunnagunna 1future ,"[{'label': 'neutral', 'score': 0.6477226614952087}]",1gunnagunna 1future,"[{'label': 'neutral', 'score': 0.8109613060951233}]"
64,64,2021-09-13 23:17:56+00:00,1357,95,125,Twitter for iPhone,theres still time to win 3k for your pnkinspired jacket print designed with creativecloud. get creating at  youngthugxadobe   ,"[{'label': 'positive', 'score': 0.8444647789001465}]",I'm not sure if I should be proud or ashamed that I got that reference.,"[{'label': 'negative', 'score': 0.7264100313186646}]"
65,65,2021-08-25 00:22:30+00:00,2286,124,267,Twitter for iPhone,"use creativecloud to design a jacket print inspired by my new album, pnk, and i might end up wearing it... get creating at  youngthugxadobe     ","[{'label': 'positive', 'score': 0.7960559129714966}]","I'm not sure if you're serious, but I'm going to try and make a jacket print for you.","[{'label': 'neutral', 'score': 0.7361550331115723}]"
66,66,2021-08-20 14:15:33+00:00,5684,111,1169,Twitter for iPhone,tick tock video out now   ,"[{'label': 'positive', 'score': 0.9240318536758423}]","I'm sorry, I'm not sure what you mean.","[{'label': 'negative', 'score': 0.6650296449661255}]"
67,67,2021-08-20 04:35:56+00:00,6301,106,894,Twitter for iPhone,tick tock out now. video at 10am east   ,"[{'label': 'positive', 'score': 0.8671414852142334}]",I'm in the same boat. I'm going to try to watch it at work.,"[{'label': 'neutral', 'score': 0.7877594232559204}]"
68,68,2021-08-20 02:39:32+00:00,8265,142,1212,Twitter for iPhone,grew this pink iphone 2 weeks ago just for this song. tick tock  midnight  ,"[{'label': 'positive', 'score': 0.9690935015678406}]",I'm so jealous.,"[{'label': 'negative', 'score': 0.866706132888794}]"
69,69,2021-08-05 23:28:21+00:00,1516,85,152,Twitter for iPhone,my luv hidoraah  ,"[{'label': 'positive', 'score': 0.9061434864997864}]","I'm not sure if you're serious or not, but I'm going to upvote you anyway.","[{'label': 'neutral', 'score': 0.47352126240730286}]"
70,70,2021-08-05 22:25:00+00:00,1491,65,198,Twitter for iPhone, ytbtrench  ,"[{'label': 'positive', 'score': 0.937254011631012}]",,NA
71,71,2021-07-27 16:06:32+00:00,15749,213,3453,Twitter for iPhone,  ,"[{'label': 'positive', 'score': 0.9306529760360718}]",,NA
72,72,2021-07-26 23:27:09+00:00,23358,318,4951,Twitter for iPhone,"tomorrow 12pm east, 9am west nprmusic  ","[{'label': 'positive', 'score': 0.9065426588058472}]",I'm in.,"[{'label': 'neutral', 'score': 0.532194972038269}]"
73,73,2021-07-13 23:47:57+00:00,38247,578,7137,Twitter for iPhone,slatty,"[{'label': 'neutral', 'score': 0.5347833037376404}]",Slatty is a good guy.,"[{'label': 'positive', 'score': 0.8638745546340942}]"
74,74,2021-07-09 18:40:17+00:00,1495,67,148,Twitter for iPhone,go up twin ytbtrench  ,"[{'label': 'neutral', 'score': 0.6247786283493042}]","I'm not sure what that means, but I'm sure it's a good thing.","[{'label': 'positive', 'score': 0.6323315501213074}]"
75,75,2021-06-19 01:24:38+00:00,1912,72,272,Twitter for iPhone, 2unfoonk 1future  ,"[{'label': 'neutral', 'score': 0.5644878149032593}]",1,"[{'label': 'neutral', 'score': 0.48586505651474}]"
76,76,2021-06-14 21:00:42+00:00,3158,72,306,Twitter for iPhone,my struggle friday 2unfoonk ,"[{'label': 'neutral', 'score': 0.8960630297660828}]",I'm sorry,"[{'label': 'negative', 'score': 0.5065277218818665}]"
77,77,2021-06-10 01:50:01+00:00,2268,55,210,Twitter for iPhone,    ,"[{'label': 'neutral', 'score': 0.8248285055160522}]",,NA
78,78,2021-06-04 04:49:24+00:00,8226,126,1011,Twitter for iPhone,voh lilbaby4pf lildurk   ,"[{'label': 'positive', 'score': 0.8855587244033813}]","I'm not sure if you're serious or not, but I'm going to upvote you anyway.","[{'label': 'neutral', 'score': 0.47352126240730286}]"
79,79,2021-06-03 05:14:11+00:00,1474,43,129,Twitter for iPhone,the yungest yungkayo  ,"[{'label': 'positive', 'score': 0.6084455251693726}]","I'm not sure if you're serious or not, but I'm pretty sure that's a reference to the song Yung Lean.","[{'label': 'neutral', 'score': 0.729744017124176}]"
80,80,2021-05-24 20:05:59+00:00,4169,95,456,Twitter for iPhone,fitskii skichallenege fitforevaaa ,"[{'label': 'neutral', 'score': 0.8473683595657349}]","I'm not sure if you're serious, but that's a Finnish word.","[{'label': 'neutral', 'score': 0.60018390417099}]"
81,81,2021-05-21 22:52:12+00:00,1606,63,142,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7075852155685425}]",,NA
82,82,2021-05-17 20:27:05+00:00,20962,242,3310,Twitter for iPhone,  uwebaltner ,"[{'label': 'neutral', 'score': 0.7556079626083374}]",uwebaltner,"[{'label': 'neutral', 'score': 0.7794267535209656}]"
83,83,2021-05-12 19:06:24+00:00,1409,607,133,Twitter for iPhone,  fndadealer  ,"[{'label': 'negative', 'score': 0.5163695812225342}]",,NA
84,84,2021-05-07 16:05:49+00:00,1273,242,88,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7427899241447449}]",,NA
85,85,2021-05-07 04:04:54+00:00,833,132,113,Twitter for iPhone, ytbtrench ,"[{'label': 'neutral', 'score': 0.8310506939888}]",Ytbtrench,"[{'label': 'neutral', 'score': 0.7979153990745544}]"
86,86,2021-05-07 03:40:38+00:00,3462,103,349,Twitter for iPhone,midnight ytbtrench ,"[{'label': 'neutral', 'score': 0.885113000869751}]","I'm not sure if you're serious, but I'm pretty sure that's a bot.","[{'label': 'negative', 'score': 0.792626142501831}]"
87,87,2021-04-30 19:33:38+00:00,8638,132,1277,Twitter for iPhone,part of the genies familyskiii skichallenge ,"[{'label': 'neutral', 'score': 0.6141704320907593}]","I'm not sure if you're serious, but I'm pretty sure that's a joke.","[{'label': 'negative', 'score': 0.681525707244873}]"
88,88,2021-04-29 18:20:08+00:00,13702,152,2866,Twitter for iPhone,the  chrisbrown skichallenge     ,"[{'label': 'positive', 'score': 0.7220612168312073}]","I'm not sure if you're serious, but I'm pretty sure that's a real thing.","[{'label': 'neutral', 'score': 0.5868633985519409}]"
89,89,2021-04-28 17:04:43+00:00,3061,69,494,Twitter for iPhone,"paid the fine video 5pm east, 2pm west 1gunnagunna lilbaby4pf ytbtrench ","[{'label': 'neutral', 'score': 0.8300660252571106}]","I'm not sure if you're serious or not, but I'm going to assume you're serious.","[{'label': 'neutral', 'score': 0.6109818816184998}]"
90,90,2021-04-28 01:58:32+00:00,11738,147,1221,Twitter for iPhone,kirkskiii  dababydababy skichallenge ,"[{'label': 'neutral', 'score': 0.5938865542411804}]","I'm not sure if you're serious or not, but I'm going to upvote you anyway.","[{'label': 'neutral', 'score': 0.47352126240730286}]"
91,91,2021-04-27 22:13:30+00:00,4011,86,436,Twitter for iPhone,nextskiii ytbtrench ,"[{'label': 'neutral', 'score': 0.801239013671875}]","I'm not sure if you're serious, but I'm pretty sure that's a bot.","[{'label': 'negative', 'score': 0.792626142501831}]"
92,92,2021-04-23 07:07:46+00:00,5951,117,930,Twitter for iPhone,deluxe us  ,"[{'label': 'neutral', 'score': 0.7675222158432007}]","I'm not sure what that means, but I'm sure it's a good thing.","[{'label': 'positive', 'score': 0.6323315501213074}]"
93,93,2021-04-23 02:31:12+00:00,74984,921,11992,Twitter for iPhone,"fuck it im mad... deluxe tonight  3am east, midnight west ","[{'label': 'negative', 'score': 0.8998806476593018}]",I'm mad too.,"[{'label': 'negative', 'score': 0.8312221765518188}]"
94,94,2021-04-22 20:00:30+00:00,2196,85,186,Twitter for iPhone,limited editions signed by me and 1gunnagunna  ,"[{'label': 'neutral', 'score': 0.783403754234314}]",I'm in.,"[{'label': 'neutral', 'score': 0.532194972038269}]"
95,95,2021-04-22 15:34:10+00:00,11488,156,2582,Twitter for iPhone,warzone squadskiii wearing all sp5der  callofduty codpartner  gibsonhazard ,"[{'label': 'positive', 'score': 0.7682795524597168}]","I'm not sure if you're serious, but I'm pretty sure that's a joke.","[{'label': 'negative', 'score': 0.681525707244873}]"
96,96,2021-04-22 00:51:41+00:00,3813,49,354,Twitter for iPhone,gangskiii 1bslime  skichallenge ,"[{'label': 'neutral', 'score': 0.8255589604377747}]",Ich auch danke,"[{'label': 'neutral', 'score': 0.7018572092056274}]"
97,97,2021-04-21 17:09:46+00:00,8631,94,885,Twitter for iPhone,goin upskiii  coileray skichallenge ,"[{'label': 'neutral', 'score': 0.677570641040802}]","I'm not sure if you're serious or not, but I'm going to upvote you anyway.","[{'label': 'neutral', 'score': 0.47352126240730286}]"
98,98,2021-04-20 19:14:32+00:00,3649,56,524,Twitter for iPhone,"5pm east, 2pm west ","[{'label': 'neutral', 'score': 0.8896133303642273}]",Thanks for the info! I'll be sure to check it out.,"[{'label': 'positive', 'score': 0.9012527465820312}]"
99,99,2021-04-20 19:14:04+00:00,3983,1731,369,Twitter for iPhone,feeling rich this week  comment your cashtag and skichallenge to win some bitcoin ,"[{'label': 'positive', 'score': 0.876819908618927}]",I'm feeling rich too.,"[{'label': 'positive', 'score': 0.9350014925003052}]"
100,100,2021-04-20 17:01:32+00:00,5060,3876,807,Twitter for iPhone,skichallenge giveaway ,"[{'label': 'positive', 'score': 0.5037573575973511}]","I'm sorry, I'm not interested in Skichallenge.","[{'label': 'negative', 'score': 0.8055987358093262}]"
101,101,2021-04-19 22:09:33+00:00,27682,206,4061,Twitter for iPhone, kevinhart4real skichallenge   therock next  ,"[{'label': 'neutral', 'score': 0.6663718819618225}]","I'm not sure if you're serious, but I'm pretty sure that's a joke.","[{'label': 'negative', 'score': 0.681525707244873}]"
102,102,2021-04-19 17:55:08+00:00,31587,303,4389,Twitter for iPhone,drakeskiii who next   drake  skichallenge ,"[{'label': 'neutral', 'score': 0.8709527850151062}]",I'm not drake,"[{'label': 'neutral', 'score': 0.7144619822502136}]"
103,103,2021-04-18 23:59:46+00:00,17760,73,3139,Twitter for iPhone,skichallenge global   ,"[{'label': 'neutral', 'score': 0.807039737701416}]",Ich auch danke,"[{'label': 'neutral', 'score': 0.7018572092056274}]"
104,104,2021-04-18 18:41:36+00:00,5899,66,570,Twitter for iPhone,you gon need 3 promoters  swaelee skichallenge ,"[{'label': 'neutral', 'score': 0.8029588460922241}]",I'm in,"[{'label': 'neutral', 'score': 0.5031018257141113}]"
105,105,2021-04-17 22:36:55+00:00,26795,290,4454,Twitter for iPhone,sayless 1future skichallenge ,"[{'label': 'neutral', 'score': 0.6154537200927734}]","I'm not sure if you're serious or not, but I'm going to assume you're serious.","[{'label': 'neutral', 'score': 0.6109818816184998}]"
106,106,2021-04-17 20:21:24+00:00,12159,146,1463,Twitter for iPhone, quavostuntin skichallenge who next ,"[{'label': 'neutral', 'score': 0.7785024642944336}]","I'm not sure, but I think it's a reference to the movie The Big Lebowski.","[{'label': 'neutral', 'score': 0.88496994972229}]"
107,107,2021-04-17 01:27:00+00:00,12453,139,2357,Twitter for iPhone,  nowskiii    ,"[{'label': 'neutral', 'score': 0.8975307941436768}]",",","[{'label': 'positive', 'score': 0.4570412337779999}]"
108,108,2021-04-16 23:53:40+00:00,9310,730,1425,Twitter for iPhone,,"[{'label': 'neutral', 'score': 0.7657750844955444}]",,NA
109,109,2021-04-16 20:45:21+00:00,33435,415,5809,Twitter for iPhone,yall ready    ,"[{'label': 'neutral', 'score': 0.8594358563423157}]",I'm ready,"[{'label': 'positive', 'score': 0.6033333539962769}]"
110,110,2021-04-16 04:39:25+00:00,13083,245,2601,Twitter for iPhone,skiii  sl2 out now gunna diddy tag who next skichallenge ,"[{'label': 'neutral', 'score': 0.9176141023635864}]",I'm in,"[{'label': 'neutral', 'score': 0.5031018257141113}]"
111,111,2021-04-13 19:21:38+00:00,2487,65,201,Twitter for iPhone, ,"[{'label': 'neutral', 'score': 0.7705792784690857}]",,NA
