date,likes,replies,retweets,source,tweet,ai_reply,time_of_day,month,tweet_sent,tweet_score,reply_sent,reply_score
2022-04-01 19:04:35+00:00,84,7,17,Twitter for iPhone,tshyne time. confetti nights ,I'm not sure if I should be happy or sad that I got to see this.,evening,April,neutral,0.842738926410675,negative,0.8353821039199829
2022-03-07 19:05:10+00:00,1522,250,127,Twitter for iPhone,pushin  at sxsw w 1gunnagunna  ,"I'm not sure if you're serious or not, but I'm going to assume you're serious.",evening,March,neutral,0.7939600348472595,neutral,0.6109818816184998
2022-02-28 22:25:31+00:00,72086,525,16345,Twitter for iPhone,just here saying that i miss u ,I miss you too,night,February,positive,0.7721670269966125,neutral,0.5083838105201721
2022-02-19 22:07:48+00:00,87558,1315,16192,Twitter for iPhone,im lost,I'm lost too.,night,February,negative,0.48143088817596436,negative,0.6762501001358032
2022-02-19 22:07:37+00:00,49670,1204,1958,Twitter for iPhone,y am i trending,Because you're a good person.,night,February,neutral,0.6596286296844482,positive,0.9066987037658691
2022-02-05 17:46:59+00:00,45700,722,4850,Twitter for iPhone,glad i aint ever fucked with no broke women ,I'm glad I'm not a woman.,evening,February,negative,0.4805368483066559,negative,0.6781390905380249
2022-01-28 19:07:34+00:00,4267,240,461,Twitter for iPhone, yungkayo  ,"Yungkayo is a good one, but I think he's a bit too young for this.",evening,January,neutral,0.4740835130214691,neutral,0.4302857220172882
2022-01-23 00:44:44+00:00,100584,1028,9865,Twitter for iPhone,i miss u so so sooo much mommy,"I miss you too, honey.",night,January,positive,0.5185695886611938,positive,0.7492759227752686
2022-01-16 19:46:03+00:00,5669,183,471,Twitter for iPhone,gm now this is  ,"I'm not sure if you're being sarcastic or not, but I'm pretty sure this is a joke.",evening,January,positive,0.8930810689926147,negative,0.552979588508606
2022-01-15 18:38:30+00:00,2483,108,254,Twitter for iPhone,feed the fam  tshyne  ,"I'm not sure if you're being serious or not, but I'm pretty sure that's a reference to the movie The Big Lebowski.",evening,January,positive,0.5238368511199951,neutral,0.6888142824172974
2022-01-14 20:07:26+00:00,4209,104,240,Twitter for iPhone, island. 7pm 1gunnagunna ,I'm in.,evening,January,neutral,0.9244830012321472,neutral,0.532194972038269
2022-01-14 02:34:05+00:00,1084,58,94,Twitter for iPhone,feed the fam tomorrow tshyne ,I'm not sure if I should be proud or ashamed that I got this reference.,night,January,neutral,0.7757682204246521,negative,0.7396925091743469
2022-01-14 02:33:19+00:00,2198,55,194,Twitter for iPhone,the yungest yungkayo dftk 2422 ,"I'm not sure if you're serious, but I'm pretty sure that's a bot.",night,January,neutral,0.5875760912895203,negative,0.792626142501831
2022-01-13 23:16:38+00:00,3759,119,511,Twitter for iPhone,  ower  ,I'm not sure if you're being serious or not.,night,January,neutral,0.903984546661377,negative,0.500285804271698
2022-01-13 19:46:00+00:00,15690,224,908,Twitter for iPhone,s only ,"I'm sorry, I'm not a native English speaker.",evening,January,neutral,0.9060631394386292,negative,0.6946633458137512
2022-01-12 21:41:22+00:00,15620,257,2245,Twitter for iPhone,alex aint  out now ,He's out for the rest of the season.,night,January,neutral,0.7357026934623718,neutral,0.5185756683349609
2022-01-07 19:00:19+00:00,3268,72,413,Twitter for iPhone,too easy   ,I'm not sure if you're being serious or not.,evening,January,neutral,0.6090505123138428,negative,0.500285804271698
2022-01-07 05:08:00+00:00,6420,108,1100,Twitter for iPhone,4ever   ,"I'm sorry, I don't speak Japanese.",early morning,January,neutral,0.6955705285072327,negative,0.725942850112915
2022-01-04 20:17:48+00:00,35652,176,4212,Twitter for iPhone,ds4 ever the fourth and final installment 1722 1gunnagunna ,"I'm not sure if you're serious or not, but I'm going to assume you're serious.",evening,January,neutral,0.8176572322845459,neutral,0.6109818816184998
2022-01-02 02:38:22+00:00,9958,114,1916,Twitter for iPhone,ds4 1722 1gunnagunna  ,"I'm not sure if you're serious, but I'm not sure if you're serious, but I'm not sure if you're serious, but I'm not sure if you're serious, but I'm not sure.",night,January,neutral,0.8896850347518921,negative,0.6787316203117371
2021-12-27 02:25:09+00:00,1123,39,87,Twitter for iPhone,live tonight. virtual reality punk   oculus superspherevr  ,I'm going to be in the room.,night,December,positive,0.74497389793396,neutral,0.8650011420249939
2021-12-17 22:50:11+00:00,1027,50,99,Twitter for iPhone,come watch me perform some new punk in oculus on 1226  superspherevr   ,I'm in.,night,December,positive,0.8673957586288452,neutral,0.532194972038269
2021-12-17 19:42:47+00:00,2128,57,362,Twitter for iPhone,giuseppe zanottis newest. the cobras. gzcobras gzss22   ,"I'm not sure if you're serious, but I'm pretty sure that's a joke.",evening,December,neutral,0.6891567707061768,negative,0.681525707244873
2021-12-07 20:07:28+00:00,789,53,73,Twitter for iPhone,the punk jacket print challenge winners are in. shout out to everyone who entered. cant wait to see this collection come to life. see my second creativecloud challenge at   ,I'm in!,evening,December,positive,0.9841655492782593,positive,0.8281314373016357
2021-12-04 01:43:16+00:00,525,44,60,Twitter for iPhone,join me now on clubhouse ,I'm in,night,December,neutral,0.7221086621284485,neutral,0.5031018257141113
2021-11-24 09:27:37+00:00,3467,151,230,Twitter for iPhone,,,morning,November,positive,0.8589701652526855,NA,NA
2021-11-23 21:00:15+00:00,753,40,77,Twitter for iPhone,you still have time to show me how you would create my punk cover art. use creativecloud to remix it. you might win 10k  enter at  ,"I'm not sure if you're serious or not, but I'm not sure if you're serious either.",night,November,positive,0.8912996053695679,negative,0.6984329223632812
2021-11-19 18:14:43+00:00,9318,83,926,Twitter for iPhone,thank you nfl & atlantafalcons for the punk suite   ,"I'm not sure if you're being sarcastic or not, but I'm pretty sure that's a real thing.",evening,November,positive,0.9759169220924377,neutral,0.5809552073478699
2021-11-14 22:01:55+00:00,32062,1596,3026,Twitter for iPhone,gm,,night,November,neutral,0.6589528322219849,NA,NA
2021-11-11 21:37:18+00:00,10446,531,1185,Twitter for iPhone,thanks for the gift thugbirdz  ,You're welcome,night,November,positive,0.9637166261672974,positive,0.8377255201339722
2021-10-28 23:32:53+00:00,1528,90,185,Twitter for iPhone,"now that youve heard the album, i wanna see what yall can do with my punk cover. remix it using creativecloud apps for a shot at 10k  to enter, go to  ","I'm not sure if I can do that, but I'll try.",night,October,positive,0.8133004903793335,negative,0.5684139132499695
2021-10-21 01:42:48+00:00,18015,533,927,Twitter for iPhone,what song do you think i was working on  punk ,I think it's a song called'The Devil Went Down to Georgia'by the band The Devil Went Down to Georgia.,night,October,neutral,0.8773552179336548,neutral,0.874372124671936
2021-10-20 22:25:11+00:00,2707,54,224,Twitter for iPhone, punk,"I'm not a fan of the new album, but I'm not going to say it's bad.",night,October,positive,0.8668163418769836,negative,0.6931262016296387
2021-10-20 20:33:55+00:00,1866,56,123,Twitter for iPhone,autographed copies of punk  ,I'd buy that.,evening,October,positive,0.8554791808128357,positive,0.8420209288597107
2021-10-19 23:42:07+00:00,30417,357,3069,Twitter for iPhone,i wanna make slime city solar powered wya elonmusk,I want to make a slime city solar powered wya elonmusk,night,October,neutral,0.5826730728149414,neutral,0.59413081407547
2021-10-19 17:27:01+00:00,1216,63,126,Twitter for iPhone,exclusive punk merch and album  ,"I'm not sure if you're serious, but I'm pretty sure that's a joke.",evening,October,positive,0.9614477157592773,negative,0.681525707244873
2021-10-17 01:09:52+00:00,3152,74,225,Twitter for iPhone,im lighting nyc pnk tonight with lyft punk snl  ,I'm in.,night,October,positive,0.7770105004310608,neutral,0.532194972038269
2021-10-15 14:25:18+00:00,1058,53,105,Twitter for iPhone,open the lyft app and enter code youngthug in the rewards tab to unlock a sp5der surprise and a promo code on merch.   punk lyftlaunchparty ,I did that and got a code for a free ride.,afternoon,October,positive,0.9029154181480408,neutral,0.6417872309684753
2021-10-15 07:52:45+00:00,27919,1566,7239,Twitter for iPhone,punk out now ,"I'm not sure if you're serious, but I'm pretty sure that's a reference to the movie The Rock.",early morning,October,neutral,0.8136057257652283,neutral,0.7230403423309326
2021-10-15 04:50:00+00:00,32582,482,5937,Twitter for iPhone,had to add some friends   punk ,I'm a punk too!,night,October,positive,0.8898479342460632,negative,0.6535881161689758
2021-10-15 04:46:24+00:00,60324,561,8226,Twitter for iPhone,punk 12pm pst3am est  ,I'm on now,night,October,positive,0.7265856862068176,neutral,0.6547280550003052
2021-10-14 21:26:19+00:00,37,9,3,Twitter for iPhone,lyft ,,night,October,positive,0.8600936532020569,NA,NA
2021-10-14 17:51:44+00:00,9491,245,1380,Twitter for iPhone,watch me surprise lyft drivers with an exclusive first listen.  punk 10.15  sign up for the punk launch party text at 404777punk ,I'm in.,evening,October,positive,0.8584113121032715,neutral,0.532194972038269
2021-09-24 04:09:08+00:00,7428,125,1161,Twitter for iPhone,  1gunnagunna 1future ,1gunnagunna 1future,night,September,neutral,0.6477226614952087,neutral,0.8109613060951233
2021-09-13 23:17:56+00:00,1357,95,125,Twitter for iPhone,theres still time to win 3k for your pnkinspired jacket print designed with creativecloud. get creating at  youngthugxadobe   ,I'm not sure if I should be proud or ashamed that I got that reference.,night,September,positive,0.8444647789001465,negative,0.7264100313186646
2021-08-25 00:22:30+00:00,2286,124,267,Twitter for iPhone,"use creativecloud to design a jacket print inspired by my new album, pnk, and i might end up wearing it... get creating at  youngthugxadobe     ","I'm not sure if you're serious, but I'm going to try and make a jacket print for you.",night,August,positive,0.7960559129714966,neutral,0.7361550331115723
2021-08-20 14:15:33+00:00,5684,111,1169,Twitter for iPhone,tick tock video out now   ,"I'm sorry, I'm not sure what you mean.",afternoon,August,positive,0.9240318536758423,negative,0.6650296449661255
2021-08-20 04:35:56+00:00,6301,106,894,Twitter for iPhone,tick tock out now. video at 10am east   ,I'm in the same boat. I'm going to try to watch it at work.,night,August,positive,0.8671414852142334,neutral,0.7877594232559204
2021-08-20 02:39:32+00:00,8265,142,1212,Twitter for iPhone,grew this pink iphone 2 weeks ago just for this song. tick tock  midnight  ,I'm so jealous.,night,August,positive,0.9690935015678406,negative,0.866706132888794
2021-08-05 23:28:21+00:00,1516,85,152,Twitter for iPhone,my luv hidoraah  ,"I'm not sure if you're serious or not, but I'm going to upvote you anyway.",night,August,positive,0.9061434864997864,neutral,0.47352126240730286
2021-08-05 22:25:00+00:00,1491,65,198,Twitter for iPhone, ytbtrench  ,,night,August,positive,0.937254011631012,NA,NA
2021-07-27 16:06:32+00:00,15749,213,3453,Twitter for iPhone,  ,,afternoon,July,positive,0.9306529760360718,NA,NA
2021-07-26 23:27:09+00:00,23358,318,4951,Twitter for iPhone,"tomorrow 12pm east, 9am west nprmusic  ",I'm in.,night,July,positive,0.9065426588058472,neutral,0.532194972038269
2021-07-13 23:47:57+00:00,38247,578,7137,Twitter for iPhone,slatty,Slatty is a good guy.,night,July,neutral,0.5347833037376404,positive,0.8638745546340942
2021-07-09 18:40:17+00:00,1495,67,148,Twitter for iPhone,go up twin ytbtrench  ,"I'm not sure what that means, but I'm sure it's a good thing.",evening,July,neutral,0.6247786283493042,positive,0.6323315501213074
2021-06-19 01:24:38+00:00,1912,72,272,Twitter for iPhone, 2unfoonk 1future  ,1,night,June,neutral,0.5644878149032593,neutral,0.48586505651474
2021-06-14 21:00:42+00:00,3158,72,306,Twitter for iPhone,my struggle friday 2unfoonk ,I'm sorry,night,June,neutral,0.8960630297660828,negative,0.5065277218818665
2021-06-10 01:50:01+00:00,2268,55,210,Twitter for iPhone,    ,,night,June,neutral,0.8248285055160522,NA,NA
2021-06-04 04:49:24+00:00,8226,126,1011,Twitter for iPhone,voh lilbaby4pf lildurk   ,"I'm not sure if you're serious or not, but I'm going to upvote you anyway.",night,June,positive,0.8855587244033813,neutral,0.47352126240730286
2021-06-03 05:14:11+00:00,1474,43,129,Twitter for iPhone,the yungest yungkayo  ,"I'm not sure if you're serious or not, but I'm pretty sure that's a reference to the song Yung Lean.",early morning,June,positive,0.6084455251693726,neutral,0.729744017124176
2021-05-24 20:05:59+00:00,4169,95,456,Twitter for iPhone,fitskii skichallenege fitforevaaa ,"I'm not sure if you're serious, but that's a Finnish word.",evening,May,neutral,0.8473683595657349,neutral,0.60018390417099
2021-05-21 22:52:12+00:00,1606,63,142,Twitter for iPhone, ,,night,May,neutral,0.7075852155685425,NA,NA
2021-05-17 20:27:05+00:00,20962,242,3310,Twitter for iPhone,  uwebaltner ,uwebaltner,evening,May,neutral,0.7556079626083374,neutral,0.7794267535209656
2021-05-12 19:06:24+00:00,1409,607,133,Twitter for iPhone,  fndadealer  ,,evening,May,negative,0.5163695812225342,NA,NA
2021-05-07 16:05:49+00:00,1273,242,88,Twitter for iPhone, ,,afternoon,May,neutral,0.7427899241447449,NA,NA
2021-05-07 04:04:54+00:00,833,132,113,Twitter for iPhone, ytbtrench ,Ytbtrench,night,May,neutral,0.8310506939888,neutral,0.7979153990745544
2021-05-07 03:40:38+00:00,3462,103,349,Twitter for iPhone,midnight ytbtrench ,"I'm not sure if you're serious, but I'm pretty sure that's a bot.",night,May,neutral,0.885113000869751,negative,0.792626142501831
2021-04-30 19:33:38+00:00,8638,132,1277,Twitter for iPhone,part of the genies familyskiii skichallenge ,"I'm not sure if you're serious, but I'm pretty sure that's a joke.",evening,April,neutral,0.6141704320907593,negative,0.681525707244873
2021-04-29 18:20:08+00:00,13702,152,2866,Twitter for iPhone,the  chrisbrown skichallenge     ,"I'm not sure if you're serious, but I'm pretty sure that's a real thing.",evening,April,positive,0.7220612168312073,neutral,0.5868633985519409
2021-04-28 17:04:43+00:00,3061,69,494,Twitter for iPhone,"paid the fine video 5pm east, 2pm west 1gunnagunna lilbaby4pf ytbtrench ","I'm not sure if you're serious or not, but I'm going to assume you're serious.",evening,April,neutral,0.8300660252571106,neutral,0.6109818816184998
2021-04-28 01:58:32+00:00,11738,147,1221,Twitter for iPhone,kirkskiii  dababydababy skichallenge ,"I'm not sure if you're serious or not, but I'm going to upvote you anyway.",night,April,neutral,0.5938865542411804,neutral,0.47352126240730286
2021-04-27 22:13:30+00:00,4011,86,436,Twitter for iPhone,nextskiii ytbtrench ,"I'm not sure if you're serious, but I'm pretty sure that's a bot.",night,April,neutral,0.801239013671875,negative,0.792626142501831
2021-04-23 07:07:46+00:00,5951,117,930,Twitter for iPhone,deluxe us  ,"I'm not sure what that means, but I'm sure it's a good thing.",early morning,April,neutral,0.7675222158432007,positive,0.6323315501213074
2021-04-23 02:31:12+00:00,74984,921,11992,Twitter for iPhone,"fuck it im mad... deluxe tonight  3am east, midnight west ",I'm mad too.,night,April,negative,0.8998806476593018,negative,0.8312221765518188
2021-04-22 20:00:30+00:00,2196,85,186,Twitter for iPhone,limited editions signed by me and 1gunnagunna  ,I'm in.,evening,April,neutral,0.783403754234314,neutral,0.532194972038269
2021-04-22 15:34:10+00:00,11488,156,2582,Twitter for iPhone,warzone squadskiii wearing all sp5der  callofduty codpartner  gibsonhazard ,"I'm not sure if you're serious, but I'm pretty sure that's a joke.",afternoon,April,positive,0.7682795524597168,negative,0.681525707244873
2021-04-22 00:51:41+00:00,3813,49,354,Twitter for iPhone,gangskiii 1bslime  skichallenge ,Ich auch danke,night,April,neutral,0.8255589604377747,neutral,0.7018572092056274
2021-04-21 17:09:46+00:00,8631,94,885,Twitter for iPhone,goin upskiii  coileray skichallenge ,"I'm not sure if you're serious or not, but I'm going to upvote you anyway.",evening,April,neutral,0.677570641040802,neutral,0.47352126240730286
2021-04-20 19:14:32+00:00,3649,56,524,Twitter for iPhone,"5pm east, 2pm west ",Thanks for the info! I'll be sure to check it out.,evening,April,neutral,0.8896133303642273,positive,0.9012527465820312
2021-04-20 19:14:04+00:00,3983,1731,369,Twitter for iPhone,feeling rich this week  comment your cashtag and skichallenge to win some bitcoin ,I'm feeling rich too.,evening,April,positive,0.876819908618927,positive,0.9350014925003052
2021-04-20 17:01:32+00:00,5060,3876,807,Twitter for iPhone,skichallenge giveaway ,"I'm sorry, I'm not interested in Skichallenge.",evening,April,positive,0.5037573575973511,negative,0.8055987358093262
2021-04-19 22:09:33+00:00,27682,206,4061,Twitter for iPhone, kevinhart4real skichallenge   therock next  ,"I'm not sure if you're serious, but I'm pretty sure that's a joke.",night,April,neutral,0.6663718819618225,negative,0.681525707244873
2021-04-19 17:55:08+00:00,31587,303,4389,Twitter for iPhone,drakeskiii who next   drake  skichallenge ,I'm not drake,evening,April,neutral,0.8709527850151062,neutral,0.7144619822502136
2021-04-18 23:59:46+00:00,17760,73,3139,Twitter for iPhone,skichallenge global   ,Ich auch danke,night,April,neutral,0.807039737701416,neutral,0.7018572092056274
2021-04-18 18:41:36+00:00,5899,66,570,Twitter for iPhone,you gon need 3 promoters  swaelee skichallenge ,I'm in,evening,April,neutral,0.8029588460922241,neutral,0.5031018257141113
2021-04-17 22:36:55+00:00,26795,290,4454,Twitter for iPhone,sayless 1future skichallenge ,"I'm not sure if you're serious or not, but I'm going to assume you're serious.",night,April,neutral,0.6154537200927734,neutral,0.6109818816184998
2021-04-17 20:21:24+00:00,12159,146,1463,Twitter for iPhone, quavostuntin skichallenge who next ,"I'm not sure, but I think it's a reference to the movie The Big Lebowski.",evening,April,neutral,0.7785024642944336,neutral,0.88496994972229
2021-04-17 01:27:00+00:00,12453,139,2357,Twitter for iPhone,  nowskiii    ,",",night,April,neutral,0.8975307941436768,positive,0.4570412337779999
2021-04-16 23:53:40+00:00,9310,730,1425,Twitter for iPhone,,,night,April,neutral,0.7657750844955444,NA,NA
2021-04-16 20:45:21+00:00,33435,415,5809,Twitter for iPhone,yall ready    ,I'm ready,evening,April,neutral,0.8594358563423157,positive,0.6033333539962769
2021-04-16 04:39:25+00:00,13083,245,2601,Twitter for iPhone,skiii  sl2 out now gunna diddy tag who next skichallenge ,I'm in,night,April,neutral,0.9176141023635864,neutral,0.5031018257141113
2021-04-13 19:21:38+00:00,2487,65,201,Twitter for iPhone, ,,evening,April,neutral,0.7705792784690857,NA,NA
2021-04-13 00:03:22+00:00,172697,1805,39842,Twitter for iPhone,416 the album ,I'm in the 408,night,April,neutral,0.8025139570236206,neutral,0.7965566515922546
2021-02-12 05:13:08+00:00,3847,194,545,Twitter for iPhone,,,early morning,February,neutral,0.7822268605232239,NA,NA
2021-01-30 21:04:51+00:00,2245,108,155,Twitter for iPhone, ,,night,January,neutral,0.6649935841560364,NA,NA
2021-01-29 04:17:27+00:00,1883,92,216,Twitter for iPhone, ,,night,January,neutral,0.7343925833702087,NA,NA
2020-12-19 17:22:48+00:00,3753,203,259,Twitter for iPhone, ,,evening,December,neutral,0.7883545756340027,NA,NA
2020-12-19 04:07:29+00:00,10215,153,1078,Twitter for iPhone, ,,night,December,neutral,0.8008175492286682,NA,NA
2020-12-18 05:12:30+00:00,9774,263,1840,Twitter for iPhone,ttstt  ,"I'm not sure if you're serious or not, but I'm going to go with the latter.",early morning,December,neutral,0.7649648785591125,neutral,0.503639280796051
2020-10-02 23:46:01+00:00,1034,24,193,Twitter for iPhone,yungkayo ,"I'm not sure if you're serious, but I'm pretty sure that's a guy.",night,October,neutral,0.8857235312461853,neutral,0.5926571488380432
2020-09-16 05:34:44+00:00,85306,855,13357,Twitter for iPhone,put that gun down son..,"I'm not your son, son.",early morning,September,negative,0.8948891162872314,negative,0.5426169633865356
2020-07-29 22:59:48+00:00,40333,1117,2299,Twitter for iPhone,twitter was hacked ,"I'm not sure if you're serious or not, but it's not twitter.",night,July,neutral,0.5146508812904358,negative,0.5391175746917725
2020-07-17 04:35:42+00:00,43633,713,5666,Twitter for iPhone,just so u know james harden is my brada... btw he dont have internet so he obviously dont know whats right or wrong if he posted something thats against us...but i hate when rappers get in niggas biz like its cant happen to em buster let niggas clear they shit up activist,"I'm not a rapper, but I'm not a rapper.",night,July,neutral,0.4731179177761078,neutral,0.4866703748703003
2020-05-29 17:29:07+00:00,5336,113,576,Twitter for iPhone,  ,,evening,May,neutral,0.7686722874641418,NA,NA
2020-05-21 22:41:27+00:00,14260,145,1998,Twitter for iPhone,wunna,I'm not sure if you're being serious or not.,night,May,neutral,0.7644060254096985,negative,0.500285804271698
2020-05-15 16:39:14+00:00,10673,157,1707,Twitter for iPhone,    ,,afternoon,May,positive,0.5997939705848694,NA,NA
2020-05-14 21:36:19+00:00,3992,122,458,Twitter for iPhone,stay home & shop  ,"I'm not sure if you're being serious or not, but I'm pretty sure that's not what he said.",night,May,neutral,0.8538659811019897,negative,0.6017469167709351
2020-05-11 19:23:28+00:00,8797,159,1575,Twitter for iPhone,my son drop friday 1lilkeed  ,"I'm sorry, but I'm not interested in your son.",evening,May,neutral,0.6846112012863159,negative,0.8698984980583191
2020-05-08 17:31:58+00:00,10462,119,1100,Twitter for iPhone,originator outwestchallenge  ,"I'm not sure if you're serious, but I'm pretty sure that's not the original.",evening,May,positive,0.7086513638496399,negative,0.7726677656173706
2020-05-06 19:57:49+00:00,930,30,91,Twitter for iPhone,    applemusic  ,"I'm not sure if you're serious or not, but I'm pretty sure that's a joke.",evening,May,neutral,0.5921278595924377,negative,0.6291768550872803
2020-05-06 19:56:46+00:00,4233,99,643,Twitter for iPhone,slimeampb spotify  ,amp,evening,May,neutral,0.7869083285331726,neutral,0.7047057747840881
2020-05-06 00:27:02+00:00,69363,1018,8516,Twitter for iPhone,i recorded all the verses in one day ongod,"I'm not sure if you're serious or not, but I'm pretty sure that's not how it works.",night,May,positive,0.7361712455749512,negative,0.7428457736968994
2020-05-05 16:44:14+00:00,12877,1037,2571,Twitter for iPhone,,,afternoon,May,neutral,0.7532966136932373,NA,NA
2020-05-05 16:43:59+00:00,18006,260,4535,Twitter for iPhone,now  ,"I'm sorry, I'm not a native English speaker.",afternoon,May,positive,0.5187326669692993,negative,0.6946633458137512
2020-05-01 04:55:08+00:00,4241,121,553,Twitter for iPhone,my artist tshyne moncler out now,"I'm sorry, but I'm not interested.",night,May,positive,0.5828815698623657,negative,0.8303504586219788
2020-04-24 23:37:37+00:00,15083,146,1380,Twitter for iPhone,,,night,April,neutral,0.7731779217720032,NA,NA
2020-04-04 19:22:31+00:00,37104,613,5059,Twitter for iPhone,1017 54,1017 55,evening,April,neutral,0.8486930727958679,neutral,0.795539379119873
2020-03-06 05:15:17+00:00,4501,124,690,Twitter for iPhone,skybox now 1gunnagunna ,"I'm not sure if you're serious or not, but I'm not sure if you're serious or not, but I'm not sure if you're serious or not, but I'm not sure if you're serious.",early morning,March,neutral,0.5323779582977295,negative,0.5894821286201477
2020-02-19 00:54:24+00:00,108342,1042,34157,Twitter for iPhone,youre gods best creation,I'm not a god.,night,February,positive,0.9649331569671631,negative,0.5868088603019714
2020-02-10 01:18:19+00:00,120820,2230,13370,Twitter for iPhone,out west video,I'm in the east.,night,February,neutral,0.9328246712684631,neutral,0.8731940984725952
2020-01-13 22:04:48+00:00,1416,55,211,Twitter for iPhone,yak gotti first day out.  ,I'm going to be there tomorrow.,night,January,positive,0.9647395610809326,neutral,0.7263920903205872
2019-12-31 18:23:07+00:00,4348,89,452,Twitter for iPhone, ,,evening,December,neutral,0.698754608631134,NA,NA
2019-12-29 17:26:37+00:00,8639,157,875,Twitter for iPhone,red sweatsuit out now   ,I'm wearing a red sweatsuit right now.,evening,December,neutral,0.8199814558029175,neutral,0.8257205486297607
2019-12-27 17:10:59+00:00,20156,162,2656,Twitter for iPhone,wat no more  ,"I'm sorry, I'm not sure what you mean.",evening,December,neutral,0.6168466210365295,negative,0.6650296449661255
2019-12-26 00:53:06+00:00,6448,119,691,Twitter for iPhone,  spider for xmas       ,"I'm not sure if you're serious, but I'm pretty sure that's a spider.",night,December,neutral,0.8367423415184021,negative,0.5424277186393738
2019-12-24 14:49:57+00:00,8267,72,742,Twitter for iPhone, ,,afternoon,December,positive,0.9202442765235901,NA,NA
2019-12-21 19:20:39+00:00,58150,188,8535,Twitter for iPhone,liluzivert  ,"I'm not sure if you're serious, but I'm pretty sure that's a real word.",evening,December,positive,0.8264603614807129,neutral,0.5642650723457336
2019-12-20 06:34:04+00:00,55075,835,13068,Twitter for iPhone,deluxe                                    ,"I'm not sure if you're serious, but I'm pretty sure that's a joke.",early morning,December,positive,0.8552248477935791,negative,0.681525707244873
